,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,科目,名詞,一般,*,*,科目,38
3,0,履修,名詞,サ変接続,*,*,履修,36
8,0,以下,名詞,非自立,副詞可能,*,以下,66
10,0,習得,名詞,サ変接続,*,*,習得,36
15,1,科学,名詞,一般,*,*,科学,38
17,1,科学,名詞,一般,*,*,科学,38
18,1,活動,名詞,サ変接続,*,*,活動,36
20,1,起源,名詞,一般,*,*,起源,38
22,1,変遷,名詞,サ変接続,*,*,変遷,36
24,1,知る,動詞,自立,*,*,知る,31
28,2,現在,名詞,副詞可能,*,*,現在,67
30,2,科学,名詞,一般,*,*,科学,38
31,2,活動,名詞,サ変接続,*,*,活動,36
33,2,大学,名詞,一般,*,*,大学,38
34,2,教育,名詞,サ変接続,*,*,教育,36
37,2,歴史,名詞,一般,*,*,歴史,38
39,2,流れ,名詞,一般,*,*,流れ,38
41,2,踏まえ,動詞,自立,*,*,踏まえる,31
43,2,相対的,名詞,固有名詞,一般,*,相対的,41
45,2,捉える,動詞,自立,*,*,捉える,31
48,2,できる,動詞,自立,*,*,できる,31
51,2,なる,動詞,自立,*,*,なる,31
54,3,科目,名詞,一般,*,*,科目,38
56,3,履修,名詞,サ変接続,*,*,履修,36
61,3,以下,名詞,非自立,副詞可能,*,以下,66
63,3,習得,名詞,サ変接続,*,*,習得,36
68,4,科学,名詞,一般,*,*,科学,38
70,4,科学,名詞,一般,*,*,科学,38
71,4,活動,名詞,サ変接続,*,*,活動,36
73,4,起源,名詞,一般,*,*,起源,38
75,4,変遷,名詞,サ変接続,*,*,変遷,36
77,4,知る,動詞,自立,*,*,知る,31
81,5,現在,名詞,副詞可能,*,*,現在,67
83,5,科学,名詞,一般,*,*,科学,38
84,5,活動,名詞,サ変接続,*,*,活動,36
86,5,大学,名詞,一般,*,*,大学,38
87,5,教育,名詞,サ変接続,*,*,教育,36
90,5,歴史,名詞,一般,*,*,歴史,38
92,5,流れ,名詞,一般,*,*,流れ,38
94,5,踏まえ,動詞,自立,*,*,踏まえる,31
96,5,相対的,名詞,固有名詞,一般,*,相対的,41
98,5,捉える,動詞,自立,*,*,捉える,31
101,5,できる,動詞,自立,*,*,できる,31
104,5,なる,動詞,自立,*,*,なる,31
107,6,科目,名詞,一般,*,*,科目,38
109,6,履修,名詞,サ変接続,*,*,履修,36
114,6,以下,名詞,非自立,副詞可能,*,以下,66
116,6,習得,名詞,サ変接続,*,*,習得,36
121,7,科学,名詞,一般,*,*,科学,38
123,7,科学,名詞,一般,*,*,科学,38
124,7,活動,名詞,サ変接続,*,*,活動,36
126,7,起源,名詞,一般,*,*,起源,38
128,7,変遷,名詞,サ変接続,*,*,変遷,36
130,7,知る,動詞,自立,*,*,知る,31
134,8,現在,名詞,副詞可能,*,*,現在,67
136,8,科学,名詞,一般,*,*,科学,38
137,8,活動,名詞,サ変接続,*,*,活動,36
139,8,大学,名詞,一般,*,*,大学,38
140,8,教育,名詞,サ変接続,*,*,教育,36
143,8,歴史,名詞,一般,*,*,歴史,38
145,8,流れ,名詞,一般,*,*,流れ,38
147,8,踏まえ,動詞,自立,*,*,踏まえる,31
149,8,相対的,名詞,固有名詞,一般,*,相対的,41
151,8,捉える,動詞,自立,*,*,捉える,31
154,8,できる,動詞,自立,*,*,できる,31
157,8,なる,動詞,自立,*,*,なる,31
161,9,理系,名詞,一般,*,*,理系,38
163,9,文系,名詞,一般,*,*,文系,38
165,9,枠組み,名詞,一般,*,*,枠組み,38
167,9,とらわれ,動詞,自立,*,*,とらわれる,31
169,9,学び,名詞,一般,*,*,学び,38
171,9,意義,名詞,一般,*,*,意義,38
173,9,見出せる,動詞,自立,*,*,見出せる,31
176,9,なる,動詞,自立,*,*,なる,31
182,10,学び,名詞,一般,*,*,学び,38
185,10,科学者,名詞,固有名詞,一般,*,科学者,41
188,10,教養,名詞,一般,*,*,教養,38
190,10,重要性,名詞,固有名詞,一般,*,重要性,41
192,10,認識,名詞,サ変接続,*,*,認識,36
198,11,教科書,名詞,一般,*,*,教科書,38
200,11,書か,動詞,自立,*,*,書く,31
203,11,数式,名詞,一般,*,*,数式,38
205,11,法則,名詞,一般,*,*,法則,38
210,11,得,動詞,自立,*,*,得る,31
213,11,背景,名詞,一般,*,*,背景,38
215,11,考え,名詞,一般,*,*,考え,38
217,11,巡らせる,動詞,自立,*,*,巡らせる,31
220,11,できる,動詞,自立,*,*,できる,31
223,11,なる,動詞,自立,*,*,なる,31
228,12,研究,名詞,サ変接続,*,*,研究,36
230,12,目的,名詞,一般,*,*,目的,38
232,12,方法論,名詞,固有名詞,一般,*,方法論,41
234,12,他,名詞,一般,*,*,他,38
236,12,研究,名詞,サ変接続,*,*,研究,36
239,12,関連性,名詞,固有名詞,一般,*,関連性,41
242,12,意識,名詞,サ変接続,*,*,意識,36
245,12,科学,名詞,一般,*,*,科学,38
246,12,研究,名詞,サ変接続,*,*,研究,36
248,12,行う,動詞,自立,*,*,行う,31
249,12,ため,名詞,非自立,副詞可能,*,ため,66
251,12,素質,名詞,一般,*,*,素質,38
253,12,養う,動詞,自立,*,*,養う,31
