,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
0,0,環境,名詞,一般,*,*,環境,38
1,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
2,0,環境,名詞,一般,*,*,環境,38
3,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
4,0,環境,名詞,一般,*,*,環境,38
5,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
6,0,環境,名詞,一般,*,*,環境,38
7,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
8,0,環境,名詞,一般,*,*,環境,38
9,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
10,0,環境,名詞,一般,*,*,環境,38
11,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
12,0,環境,名詞,一般,*,*,環境,38
13,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
14,0,環境,名詞,一般,*,*,環境,38
15,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
16,0,環境,名詞,一般,*,*,環境,38
17,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
18,0,環境,名詞,一般,*,*,環境,38
19,0,生物工学,名詞,固有名詞,一般,*,生物工学,41
