Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
29,0,基本,名詞,一般,*,*,基本,38
30,0,的,名詞,接尾,形容動詞語幹,*,的,52
32,0,性質,名詞,一般,*,*,性質,38
34,0,説明,名詞,サ変接続,*,*,説明,36
35,0,できる,動詞,自立,*,*,できる,31
39,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
41,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
42,0,粒子,名詞,一般,*,*,粒子,38
44,0,物理量,名詞,固有名詞,一般,*,物理量,41
46,0,計算,名詞,サ変接続,*,*,計算,36
47,0,できる,動詞,自立,*,*,できる,31
51,0,相転移,名詞,固有名詞,一般,*,相転移,41
53,0,臨界,名詞,一般,*,*,臨界,38
54,0,現象,名詞,一般,*,*,現象,38
56,0,基礎,名詞,一般,*,*,基礎,38
58,0,説明,名詞,サ変接続,*,*,説明,36
59,0,できる,動詞,自立,*,*,できる,31
61,0,講義,名詞,サ変接続,*,*,講義,36
63,0,履修,名詞,サ変接続,*,*,履修,36
67,0,次,名詞,一般,*,*,次,38
69,0,能力,名詞,一般,*,*,能力,38
71,0,習得,名詞,サ変接続,*,*,習得,36
77,0,分布,名詞,サ変接続,*,*,分布,36
79,0,説明,名詞,サ変接続,*,*,説明,36
80,0,できる,動詞,自立,*,*,できる,31
84,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
86,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
87,0,粒子,名詞,一般,*,*,粒子,38
89,0,基本,名詞,一般,*,*,基本,38
90,0,的,名詞,接尾,形容動詞語幹,*,的,52
92,0,性質,名詞,一般,*,*,性質,38
94,0,説明,名詞,サ変接続,*,*,説明,36
95,0,できる,動詞,自立,*,*,できる,31
99,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
101,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
102,0,粒子,名詞,一般,*,*,粒子,38
104,0,物理量,名詞,固有名詞,一般,*,物理量,41
106,0,計算,名詞,サ変接続,*,*,計算,36
107,0,できる,動詞,自立,*,*,できる,31
111,0,相転移,名詞,固有名詞,一般,*,相転移,41
113,0,臨界,名詞,一般,*,*,臨界,38
114,0,現象,名詞,一般,*,*,現象,38
116,0,基礎,名詞,一般,*,*,基礎,38
118,0,説明,名詞,サ変接続,*,*,説明,36
119,0,できる,動詞,自立,*,*,できる,31
121,0,講義,名詞,サ変接続,*,*,講義,36
123,0,履修,名詞,サ変接続,*,*,履修,36
127,0,次,名詞,一般,*,*,次,38
129,0,能力,名詞,一般,*,*,能力,38
131,0,習得,名詞,サ変接続,*,*,習得,36
137,0,分布,名詞,サ変接続,*,*,分布,36
139,0,説明,名詞,サ変接続,*,*,説明,36
140,0,できる,動詞,自立,*,*,できる,31
144,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
146,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
147,0,粒子,名詞,一般,*,*,粒子,38
149,0,基本,名詞,一般,*,*,基本,38
150,0,的,名詞,接尾,形容動詞語幹,*,的,52
152,0,性質,名詞,一般,*,*,性質,38
154,0,説明,名詞,サ変接続,*,*,説明,36
155,0,できる,動詞,自立,*,*,できる,31
159,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
161,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
162,0,粒子,名詞,一般,*,*,粒子,38
164,0,物理量,名詞,固有名詞,一般,*,物理量,41
166,0,計算,名詞,サ変接続,*,*,計算,36
167,0,できる,動詞,自立,*,*,できる,31
171,0,相転移,名詞,固有名詞,一般,*,相転移,41
173,0,臨界,名詞,一般,*,*,臨界,38
174,0,現象,名詞,一般,*,*,現象,38
176,0,基礎,名詞,一般,*,*,基礎,38
178,0,説明,名詞,サ変接続,*,*,説明,36
179,0,できる,動詞,自立,*,*,できる,31
181,0,講義,名詞,サ変接続,*,*,講義,36
183,0,履修,名詞,サ変接続,*,*,履修,36
187,0,次,名詞,一般,*,*,次,38
189,0,能力,名詞,一般,*,*,能力,38
191,0,習得,名詞,サ変接続,*,*,習得,36
197,0,分布,名詞,サ変接続,*,*,分布,36
199,0,説明,名詞,サ変接続,*,*,説明,36
200,0,できる,動詞,自立,*,*,できる,31
204,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
206,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
207,0,粒子,名詞,一般,*,*,粒子,38
209,0,基本,名詞,一般,*,*,基本,38
210,0,的,名詞,接尾,形容動詞語幹,*,的,52
212,0,性質,名詞,一般,*,*,性質,38
214,0,説明,名詞,サ変接続,*,*,説明,36
215,0,できる,動詞,自立,*,*,できる,31
219,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
221,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
222,0,粒子,名詞,一般,*,*,粒子,38
224,0,物理量,名詞,固有名詞,一般,*,物理量,41
226,0,計算,名詞,サ変接続,*,*,計算,36
227,0,できる,動詞,自立,*,*,できる,31
231,0,相転移,名詞,固有名詞,一般,*,相転移,41
233,0,臨界,名詞,一般,*,*,臨界,38
234,0,現象,名詞,一般,*,*,現象,38
236,0,基礎,名詞,一般,*,*,基礎,38
238,0,説明,名詞,サ変接続,*,*,説明,36
239,0,できる,動詞,自立,*,*,できる,31
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,習得,名詞,サ変接続,*,*,習得,36
17,0,分布,名詞,サ変接続,*,*,分布,36
19,0,説明,名詞,サ変接続,*,*,説明,36
20,0,できる,動詞,自立,*,*,できる,31
24,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
26,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
27,0,粒子,名詞,一般,*,*,粒子,38
29,0,基本,名詞,一般,*,*,基本,38
30,0,的,名詞,接尾,形容動詞語幹,*,的,52
32,0,性質,名詞,一般,*,*,性質,38
34,0,説明,名詞,サ変接続,*,*,説明,36
35,0,できる,動詞,自立,*,*,できる,31
39,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
41,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
42,0,粒子,名詞,一般,*,*,粒子,38
44,0,物理量,名詞,固有名詞,一般,*,物理量,41
46,0,計算,名詞,サ変接続,*,*,計算,36
47,0,できる,動詞,自立,*,*,できる,31
51,0,相転移,名詞,固有名詞,一般,*,相転移,41
53,0,臨界,名詞,一般,*,*,臨界,38
54,0,現象,名詞,一般,*,*,現象,38
56,0,基礎,名詞,一般,*,*,基礎,38
58,0,説明,名詞,サ変接続,*,*,説明,36
59,0,できる,動詞,自立,*,*,できる,31
61,0,講義,名詞,サ変接続,*,*,講義,36
63,0,履修,名詞,サ変接続,*,*,履修,36
67,0,次,名詞,一般,*,*,次,38
69,0,能力,名詞,一般,*,*,能力,38
71,0,習得,名詞,サ変接続,*,*,習得,36
77,0,分布,名詞,サ変接続,*,*,分布,36
79,0,説明,名詞,サ変接続,*,*,説明,36
80,0,できる,動詞,自立,*,*,できる,31
84,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
86,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
87,0,粒子,名詞,一般,*,*,粒子,38
89,0,基本,名詞,一般,*,*,基本,38
90,0,的,名詞,接尾,形容動詞語幹,*,的,52
92,0,性質,名詞,一般,*,*,性質,38
94,0,説明,名詞,サ変接続,*,*,説明,36
95,0,できる,動詞,自立,*,*,できる,31
99,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
101,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
102,0,粒子,名詞,一般,*,*,粒子,38
104,0,物理量,名詞,固有名詞,一般,*,物理量,41
106,0,計算,名詞,サ変接続,*,*,計算,36
107,0,できる,動詞,自立,*,*,できる,31
111,0,相転移,名詞,固有名詞,一般,*,相転移,41
113,0,臨界,名詞,一般,*,*,臨界,38
114,0,現象,名詞,一般,*,*,現象,38
116,0,基礎,名詞,一般,*,*,基礎,38
118,0,説明,名詞,サ変接続,*,*,説明,36
119,0,できる,動詞,自立,*,*,できる,31
121,0,講義,名詞,サ変接続,*,*,講義,36
123,0,履修,名詞,サ変接続,*,*,履修,36
127,0,次,名詞,一般,*,*,次,38
129,0,能力,名詞,一般,*,*,能力,38
131,0,習得,名詞,サ変接続,*,*,習得,36
137,0,分布,名詞,サ変接続,*,*,分布,36
139,0,説明,名詞,サ変接続,*,*,説明,36
140,0,できる,動詞,自立,*,*,できる,31
144,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
146,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
147,0,粒子,名詞,一般,*,*,粒子,38
149,0,基本,名詞,一般,*,*,基本,38
150,0,的,名詞,接尾,形容動詞語幹,*,的,52
152,0,性質,名詞,一般,*,*,性質,38
154,0,説明,名詞,サ変接続,*,*,説明,36
155,0,できる,動詞,自立,*,*,できる,31
159,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
161,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
162,0,粒子,名詞,一般,*,*,粒子,38
164,0,物理量,名詞,固有名詞,一般,*,物理量,41
166,0,計算,名詞,サ変接続,*,*,計算,36
167,0,できる,動詞,自立,*,*,できる,31
171,0,相転移,名詞,固有名詞,一般,*,相転移,41
173,0,臨界,名詞,一般,*,*,臨界,38
174,0,現象,名詞,一般,*,*,現象,38
176,0,基礎,名詞,一般,*,*,基礎,38
178,0,説明,名詞,サ変接続,*,*,説明,36
179,0,できる,動詞,自立,*,*,できる,31
181,0,講義,名詞,サ変接続,*,*,講義,36
183,0,履修,名詞,サ変接続,*,*,履修,36
187,0,次,名詞,一般,*,*,次,38
189,0,能力,名詞,一般,*,*,能力,38
191,0,習得,名詞,サ変接続,*,*,習得,36
197,0,分布,名詞,サ変接続,*,*,分布,36
199,0,説明,名詞,サ変接続,*,*,説明,36
200,0,できる,動詞,自立,*,*,できる,31
204,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
206,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
207,0,粒子,名詞,一般,*,*,粒子,38
209,0,基本,名詞,一般,*,*,基本,38
210,0,的,名詞,接尾,形容動詞語幹,*,的,52
212,0,性質,名詞,一般,*,*,性質,38
214,0,説明,名詞,サ変接続,*,*,説明,36
215,0,できる,動詞,自立,*,*,できる,31
219,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
221,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
222,0,粒子,名詞,一般,*,*,粒子,38
224,0,物理量,名詞,固有名詞,一般,*,物理量,41
226,0,計算,名詞,サ変接続,*,*,計算,36
227,0,できる,動詞,自立,*,*,できる,31
231,0,相転移,名詞,固有名詞,一般,*,相転移,41
233,0,臨界,名詞,一般,*,*,臨界,38
234,0,現象,名詞,一般,*,*,現象,38
236,0,基礎,名詞,一般,*,*,基礎,38
238,0,説明,名詞,サ変接続,*,*,説明,36
239,0,できる,動詞,自立,*,*,できる,31
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,習得,名詞,サ変接続,*,*,習得,36
17,0,分布,名詞,サ変接続,*,*,分布,36
19,0,説明,名詞,サ変接続,*,*,説明,36
20,0,できる,動詞,自立,*,*,できる,31
24,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
26,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
27,0,粒子,名詞,一般,*,*,粒子,38
29,0,基本,名詞,一般,*,*,基本,38
30,0,的,名詞,接尾,形容動詞語幹,*,的,52
32,0,性質,名詞,一般,*,*,性質,38
34,0,説明,名詞,サ変接続,*,*,説明,36
35,0,できる,動詞,自立,*,*,できる,31
39,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
41,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
42,0,粒子,名詞,一般,*,*,粒子,38
44,0,物理量,名詞,固有名詞,一般,*,物理量,41
46,0,計算,名詞,サ変接続,*,*,計算,36
47,0,できる,動詞,自立,*,*,できる,31
51,0,相転移,名詞,固有名詞,一般,*,相転移,41
53,0,臨界,名詞,一般,*,*,臨界,38
54,0,現象,名詞,一般,*,*,現象,38
56,0,基礎,名詞,一般,*,*,基礎,38
58,0,説明,名詞,サ変接続,*,*,説明,36
59,0,できる,動詞,自立,*,*,できる,31
61,0,講義,名詞,サ変接続,*,*,講義,36
63,0,履修,名詞,サ変接続,*,*,履修,36
67,0,次,名詞,一般,*,*,次,38
69,0,能力,名詞,一般,*,*,能力,38
71,0,習得,名詞,サ変接続,*,*,習得,36
77,0,分布,名詞,サ変接続,*,*,分布,36
79,0,説明,名詞,サ変接続,*,*,説明,36
80,0,できる,動詞,自立,*,*,できる,31
84,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
86,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
87,0,粒子,名詞,一般,*,*,粒子,38
89,0,基本,名詞,一般,*,*,基本,38
90,0,的,名詞,接尾,形容動詞語幹,*,的,52
92,0,性質,名詞,一般,*,*,性質,38
94,0,説明,名詞,サ変接続,*,*,説明,36
95,0,できる,動詞,自立,*,*,できる,31
99,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
101,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
102,0,粒子,名詞,一般,*,*,粒子,38
104,0,物理量,名詞,固有名詞,一般,*,物理量,41
106,0,計算,名詞,サ変接続,*,*,計算,36
107,0,できる,動詞,自立,*,*,できる,31
111,0,相転移,名詞,固有名詞,一般,*,相転移,41
113,0,臨界,名詞,一般,*,*,臨界,38
114,0,現象,名詞,一般,*,*,現象,38
116,0,基礎,名詞,一般,*,*,基礎,38
118,0,説明,名詞,サ変接続,*,*,説明,36
119,0,できる,動詞,自立,*,*,できる,31
121,0,講義,名詞,サ変接続,*,*,講義,36
123,0,履修,名詞,サ変接続,*,*,履修,36
127,0,次,名詞,一般,*,*,次,38
129,0,能力,名詞,一般,*,*,能力,38
131,0,習得,名詞,サ変接続,*,*,習得,36
137,0,分布,名詞,サ変接続,*,*,分布,36
139,0,説明,名詞,サ変接続,*,*,説明,36
140,0,できる,動詞,自立,*,*,できる,31
144,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
146,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
147,0,粒子,名詞,一般,*,*,粒子,38
149,0,基本,名詞,一般,*,*,基本,38
150,0,的,名詞,接尾,形容動詞語幹,*,的,52
152,0,性質,名詞,一般,*,*,性質,38
154,0,説明,名詞,サ変接続,*,*,説明,36
155,0,できる,動詞,自立,*,*,できる,31
159,0,フェルミ粒子,名詞,固有名詞,一般,*,フェルミ粒子,41
161,0,ボーズ,名詞,固有名詞,人名,一般,BOZ,42
162,0,粒子,名詞,一般,*,*,粒子,38
