Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
8,0,理解,名詞,サ変接続,*,*,理解,36
11,1,博物館,名詞,一般,*,*,博物館,38
13,1,歴史学,名詞,固有名詞,一般,*,歴史学,41
14,1,博物館,名詞,一般,*,*,博物館,38
16,1,歴史学,名詞,固有名詞,一般,*,歴史学,41
18,1,関わり,名詞,一般,*,*,関わり,38
20,1,考える,動詞,自立,*,*,考える,31
22,2,古文書,名詞,一般,*,*,古文書,38
24,2,読む,動詞,自立,*,*,読む,31
26,2,古文書,名詞,一般,*,*,古文書,38
28,2,読む,動詞,自立,*,*,読む,31
29,2,ため,名詞,非自立,副詞可能,*,ため,66
32,2,基礎,名詞,一般,*,*,基礎,38
33,2,知識,名詞,一般,*,*,知識,38
35,2,身,名詞,一般,*,*,身,38
37,2,付ける,動詞,自立,*,*,付ける,31
39,3,古文書,名詞,一般,*,*,古文書,38
41,3,読む,動詞,自立,*,*,読む,31
43,3,古文書,名詞,一般,*,*,古文書,38
45,3,読む,動詞,自立,*,*,読む,31
47,3,古文書,名詞,一般,*,*,古文書,38
49,3,読む,動詞,自立,*,*,読む,31
51,3,古文書,名詞,一般,*,*,古文書,38
53,3,読む,動詞,自立,*,*,読む,31
55,3,博物館,名詞,一般,*,*,博物館,38
57,3,歴史,名詞,一般,*,*,歴史,38
59,3,学ぶ,動詞,自立,*,*,学ぶ,31
61,3,博物館,名詞,一般,*,*,博物館,38
65,3,歴史,名詞,一般,*,*,歴史,38
67,3,学び,動詞,自立,*,*,学ぶ,31
71,3,理解,名詞,サ変接続,*,*,理解,36
74,4,博物館,名詞,一般,*,*,博物館,38
76,4,歴史,名詞,一般,*,*,歴史,38
78,4,学ぶ,動詞,自立,*,*,学ぶ,31
80,4,博物館,名詞,一般,*,*,博物館,38
82,4,歴史,名詞,一般,*,*,歴史,38
84,4,学ぶ,動詞,自立,*,*,学ぶ,31
86,4,博物館,名詞,一般,*,*,博物館,38
88,4,歴史,名詞,一般,*,*,歴史,38
90,4,学ぶ,動詞,自立,*,*,学ぶ,31
92,4,博物館,名詞,一般,*,*,博物館,38
94,4,歴史,名詞,一般,*,*,歴史,38
96,4,学ぶ,動詞,自立,*,*,学ぶ,31
98,4,博物館,名詞,一般,*,*,博物館,38
100,4,歴史,名詞,一般,*,*,歴史,38
102,4,学ぶ,動詞,自立,*,*,学ぶ,31
104,4,まとめ,動詞,自立,*,*,まとめる,31
105,4,受講,名詞,サ変接続,*,*,受講,36
106,4,生,名詞,接尾,一般,*,生,51
108,4,出さ,動詞,自立,*,*,出す,31
111,4,質問,名詞,サ変接続,*,*,質問,36
113,4,答える,動詞,自立,*,*,答える,31
114,4,形,名詞,一般,*,*,形,38
116,4,総括,名詞,サ変接続,*,*,総括,36
118,4,行う,動詞,自立,*,*,行う,31
120,5,イントロダクション,名詞,一般,*,*,イントロダクション,38
122,5,歴史,名詞,一般,*,*,歴史,38
124,5,学び,動詞,自立,*,*,学ぶ,31
128,5,理解,名詞,サ変接続,*,*,理解,36
131,6,博物館,名詞,一般,*,*,博物館,38
133,6,歴史学,名詞,固有名詞,一般,*,歴史学,41
134,6,博物館,名詞,一般,*,*,博物館,38
136,6,歴史学,名詞,固有名詞,一般,*,歴史学,41
138,6,関わり,名詞,一般,*,*,関わり,38
140,6,考える,動詞,自立,*,*,考える,31
142,7,古文書,名詞,一般,*,*,古文書,38
144,7,読む,動詞,自立,*,*,読む,31
146,7,古文書,名詞,一般,*,*,古文書,38
148,7,読む,動詞,自立,*,*,読む,31
149,7,ため,名詞,非自立,副詞可能,*,ため,66
152,7,基礎,名詞,一般,*,*,基礎,38
153,7,知識,名詞,一般,*,*,知識,38
155,7,身,名詞,一般,*,*,身,38
157,7,付ける,動詞,自立,*,*,付ける,31
159,8,古文書,名詞,一般,*,*,古文書,38
161,8,読む,動詞,自立,*,*,読む,31
163,8,古文書,名詞,一般,*,*,古文書,38
165,8,読む,動詞,自立,*,*,読む,31
167,8,古文書,名詞,一般,*,*,古文書,38
169,8,読む,動詞,自立,*,*,読む,31
171,8,古文書,名詞,一般,*,*,古文書,38
173,8,読む,動詞,自立,*,*,読む,31
175,8,博物館,名詞,一般,*,*,博物館,38
177,8,歴史,名詞,一般,*,*,歴史,38
179,8,学ぶ,動詞,自立,*,*,学ぶ,31
181,8,博物館,名詞,一般,*,*,博物館,38
185,8,歴史,名詞,一般,*,*,歴史,38
187,8,学び,動詞,自立,*,*,学ぶ,31
191,8,理解,名詞,サ変接続,*,*,理解,36
194,9,博物館,名詞,一般,*,*,博物館,38
196,9,歴史,名詞,一般,*,*,歴史,38
198,9,学ぶ,動詞,自立,*,*,学ぶ,31
200,9,博物館,名詞,一般,*,*,博物館,38
202,9,歴史,名詞,一般,*,*,歴史,38
204,9,学ぶ,動詞,自立,*,*,学ぶ,31
206,9,博物館,名詞,一般,*,*,博物館,38
208,9,歴史,名詞,一般,*,*,歴史,38
210,9,学ぶ,動詞,自立,*,*,学ぶ,31
212,9,博物館,名詞,一般,*,*,博物館,38
214,9,歴史,名詞,一般,*,*,歴史,38
216,9,学ぶ,動詞,自立,*,*,学ぶ,31
218,9,博物館,名詞,一般,*,*,博物館,38
220,9,歴史,名詞,一般,*,*,歴史,38
222,9,学ぶ,動詞,自立,*,*,学ぶ,31
224,9,まとめ,動詞,自立,*,*,まとめる,31
225,9,受講,名詞,サ変接続,*,*,受講,36
226,9,生,名詞,接尾,一般,*,生,51
228,9,出さ,動詞,自立,*,*,出す,31
231,9,質問,名詞,サ変接続,*,*,質問,36
233,9,答える,動詞,自立,*,*,答える,31
234,9,形,名詞,一般,*,*,形,38
236,9,総括,名詞,サ変接続,*,*,総括,36
238,9,行う,動詞,自立,*,*,行う,31
0,0,人文学,名詞,固有名詞,一般,*,人文学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,博物館,名詞,一般,*,*,博物館,38
6,0,歴史学,名詞,固有名詞,一般,*,歴史学,41
0,0,人文学,名詞,固有名詞,一般,*,人文学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,博物館,名詞,一般,*,*,博物館,38
6,0,歴史学,名詞,固有名詞,一般,*,歴史学,41
0,0,人文学,名詞,固有名詞,一般,*,人文学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,博物館,名詞,一般,*,*,博物館,38
6,0,歴史学,名詞,固有名詞,一般,*,歴史学,41
0,0,人文学,名詞,固有名詞,一般,*,人文学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,博物館,名詞,一般,*,*,博物館,38
6,0,歴史学,名詞,固有名詞,一般,*,歴史学,41
0,0,人文学,名詞,固有名詞,一般,*,人文学,41
1,0,系,名詞,接尾,一般,*,系,51
2,0,ゼミ,名詞,一般,*,*,ゼミ,38
4,0,博物館,名詞,一般,*,*,博物館,38
6,0,歴史学,名詞,固有名詞,一般,*,歴史学,41
