Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
302,10,期,名詞,接尾,一般,*,期,51
307,10,段階,名詞,一般,*,*,段階,38
309,10,学ぶ,動詞,自立,*,*,学ぶ,31
312,11,古典,名詞,一般,*,*,古典,38
313,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
315,11,文法,名詞,一般,*,*,文法,38
317,11,学ぶ,動詞,自立,*,*,学ぶ,31
321,11,古典,名詞,一般,*,*,古典,38
322,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
324,11,書か,動詞,自立,*,*,書く,31
327,11,文献,名詞,一般,*,*,文献,38
329,11,読む,動詞,自立,*,*,読む,31
332,11,出来る,動詞,自立,*,*,出来る,31
333,11,語学力,名詞,固有名詞,一般,*,語学力,41
335,11,身,名詞,一般,*,*,身,38
337,11,つける,動詞,自立,*,*,つける,31
341,12,文献,名詞,一般,*,*,文献,38
349,12,昔,名詞,副詞可能,*,*,昔,67
351,12,書か,動詞,自立,*,*,書く,31
359,12,いま,名詞,副詞可能,*,*,いま,67
360,12,なお,副詞,一般,*,*,なお,34
361,12,古びる,動詞,自立,*,*,古びる,31
364,12,ない,形容詞,自立,*,*,ない,10
366,12,普遍,名詞,一般,*,*,普遍,38
367,12,的,名詞,接尾,形容動詞語幹,*,的,52
369,12,価値,名詞,一般,*,*,価値,38
371,12,持っ,動詞,自立,*,*,持つ,31
375,13,当時,名詞,副詞可能,*,*,当時,67
377,13,人々,名詞,一般,*,*,人々,38
379,13,書い,動詞,自立,*,*,書く,31
381,13,文献,名詞,一般,*,*,文献,38
384,13,翻訳,名詞,サ変接続,*,*,翻訳,36
386,13,よら,動詞,自立,*,*,よる,31
388,13,直接,名詞,副詞可能,*,*,直接,67
390,13,読む,動詞,自立,*,*,読む,31
394,13,古典,名詞,一般,*,*,古典,38
395,13,文献,名詞,一般,*,*,文献,38
397,13,理解,名詞,サ変接続,*,*,理解,36
399,13,深め,動詞,自立,*,*,深める,31
405,14,継続,名詞,サ変接続,*,*,継続,36
407,14,学習,名詞,サ変接続,*,*,学習,36
409,14,うち,名詞,非自立,副詞可能,*,うち,66
411,14,本学,名詞,一般,*,*,本学,38
412,14,期,名詞,接尾,一般,*,期,51
417,14,段階,名詞,一般,*,*,段階,38
419,14,学ぶ,動詞,自立,*,*,学ぶ,31
1,0,古典,名詞,一般,*,*,古典,38
2,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
4,0,文法,名詞,一般,*,*,文法,38
6,0,学ぶ,動詞,自立,*,*,学ぶ,31
10,0,古典,名詞,一般,*,*,古典,38
11,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
13,0,書か,動詞,自立,*,*,書く,31
16,0,文献,名詞,一般,*,*,文献,38
18,0,読む,動詞,自立,*,*,読む,31
21,0,出来る,動詞,自立,*,*,出来る,31
22,0,語学力,名詞,固有名詞,一般,*,語学力,41
24,0,身,名詞,一般,*,*,身,38
26,0,つける,動詞,自立,*,*,つける,31
30,1,文献,名詞,一般,*,*,文献,38
38,1,昔,名詞,副詞可能,*,*,昔,67
40,1,書か,動詞,自立,*,*,書く,31
48,1,いま,名詞,副詞可能,*,*,いま,67
49,1,なお,副詞,一般,*,*,なお,34
50,1,古びる,動詞,自立,*,*,古びる,31
53,1,ない,形容詞,自立,*,*,ない,10
55,1,普遍,名詞,一般,*,*,普遍,38
56,1,的,名詞,接尾,形容動詞語幹,*,的,52
58,1,価値,名詞,一般,*,*,価値,38
60,1,持っ,動詞,自立,*,*,持つ,31
64,2,当時,名詞,副詞可能,*,*,当時,67
66,2,人々,名詞,一般,*,*,人々,38
68,2,書い,動詞,自立,*,*,書く,31
70,2,文献,名詞,一般,*,*,文献,38
73,2,翻訳,名詞,サ変接続,*,*,翻訳,36
75,2,よら,動詞,自立,*,*,よる,31
77,2,直接,名詞,副詞可能,*,*,直接,67
79,2,読む,動詞,自立,*,*,読む,31
83,2,古典,名詞,一般,*,*,古典,38
84,2,文献,名詞,一般,*,*,文献,38
86,2,理解,名詞,サ変接続,*,*,理解,36
88,2,深め,動詞,自立,*,*,深める,31
92,3,古典,名詞,一般,*,*,古典,38
93,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
95,3,文法,名詞,一般,*,*,文法,38
97,3,学ぶ,動詞,自立,*,*,学ぶ,31
101,3,古典,名詞,一般,*,*,古典,38
102,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
104,3,書か,動詞,自立,*,*,書く,31
107,3,文献,名詞,一般,*,*,文献,38
109,3,読む,動詞,自立,*,*,読む,31
112,3,出来る,動詞,自立,*,*,出来る,31
113,3,語学力,名詞,固有名詞,一般,*,語学力,41
115,3,身,名詞,一般,*,*,身,38
117,3,つける,動詞,自立,*,*,つける,31
121,4,文献,名詞,一般,*,*,文献,38
129,4,昔,名詞,副詞可能,*,*,昔,67
131,4,書か,動詞,自立,*,*,書く,31
139,4,いま,名詞,副詞可能,*,*,いま,67
140,4,なお,副詞,一般,*,*,なお,34
141,4,古びる,動詞,自立,*,*,古びる,31
144,4,ない,形容詞,自立,*,*,ない,10
146,4,普遍,名詞,一般,*,*,普遍,38
147,4,的,名詞,接尾,形容動詞語幹,*,的,52
149,4,価値,名詞,一般,*,*,価値,38
151,4,持っ,動詞,自立,*,*,持つ,31
155,5,当時,名詞,副詞可能,*,*,当時,67
157,5,人々,名詞,一般,*,*,人々,38
159,5,書い,動詞,自立,*,*,書く,31
161,5,文献,名詞,一般,*,*,文献,38
164,5,翻訳,名詞,サ変接続,*,*,翻訳,36
166,5,よら,動詞,自立,*,*,よる,31
168,5,直接,名詞,副詞可能,*,*,直接,67
170,5,読む,動詞,自立,*,*,読む,31
174,5,古典,名詞,一般,*,*,古典,38
175,5,文献,名詞,一般,*,*,文献,38
177,5,理解,名詞,サ変接続,*,*,理解,36
179,5,深め,動詞,自立,*,*,深める,31
185,6,継続,名詞,サ変接続,*,*,継続,36
187,6,学習,名詞,サ変接続,*,*,学習,36
189,6,うち,名詞,非自立,副詞可能,*,うち,66
191,6,本学,名詞,一般,*,*,本学,38
192,6,期,名詞,接尾,一般,*,期,51
197,6,段階,名詞,一般,*,*,段階,38
199,6,学ぶ,動詞,自立,*,*,学ぶ,31
202,7,古典,名詞,一般,*,*,古典,38
203,7,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
205,7,文法,名詞,一般,*,*,文法,38
207,7,学ぶ,動詞,自立,*,*,学ぶ,31
211,7,古典,名詞,一般,*,*,古典,38
212,7,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
214,7,書か,動詞,自立,*,*,書く,31
217,7,文献,名詞,一般,*,*,文献,38
219,7,読む,動詞,自立,*,*,読む,31
222,7,出来る,動詞,自立,*,*,出来る,31
223,7,語学力,名詞,固有名詞,一般,*,語学力,41
225,7,身,名詞,一般,*,*,身,38
227,7,つける,動詞,自立,*,*,つける,31
231,8,文献,名詞,一般,*,*,文献,38
239,8,昔,名詞,副詞可能,*,*,昔,67
241,8,書か,動詞,自立,*,*,書く,31
249,8,いま,名詞,副詞可能,*,*,いま,67
250,8,なお,副詞,一般,*,*,なお,34
251,8,古びる,動詞,自立,*,*,古びる,31
254,8,ない,形容詞,自立,*,*,ない,10
256,8,普遍,名詞,一般,*,*,普遍,38
257,8,的,名詞,接尾,形容動詞語幹,*,的,52
259,8,価値,名詞,一般,*,*,価値,38
261,8,持っ,動詞,自立,*,*,持つ,31
265,9,当時,名詞,副詞可能,*,*,当時,67
267,9,人々,名詞,一般,*,*,人々,38
269,9,書い,動詞,自立,*,*,書く,31
271,9,文献,名詞,一般,*,*,文献,38
274,9,翻訳,名詞,サ変接続,*,*,翻訳,36
276,9,よら,動詞,自立,*,*,よる,31
278,9,直接,名詞,副詞可能,*,*,直接,67
280,9,読む,動詞,自立,*,*,読む,31
284,9,古典,名詞,一般,*,*,古典,38
285,9,文献,名詞,一般,*,*,文献,38
287,9,理解,名詞,サ変接続,*,*,理解,36
289,9,深め,動詞,自立,*,*,深める,31
295,10,継続,名詞,サ変接続,*,*,継続,36
297,10,学習,名詞,サ変接続,*,*,学習,36
299,10,うち,名詞,非自立,副詞可能,*,うち,66
301,10,本学,名詞,一般,*,*,本学,38
302,10,期,名詞,接尾,一般,*,期,51
307,10,段階,名詞,一般,*,*,段階,38
309,10,学ぶ,動詞,自立,*,*,学ぶ,31
312,11,古典,名詞,一般,*,*,古典,38
313,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
315,11,文法,名詞,一般,*,*,文法,38
317,11,学ぶ,動詞,自立,*,*,学ぶ,31
321,11,古典,名詞,一般,*,*,古典,38
322,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
324,11,書か,動詞,自立,*,*,書く,31
327,11,文献,名詞,一般,*,*,文献,38
329,11,読む,動詞,自立,*,*,読む,31
332,11,出来る,動詞,自立,*,*,出来る,31
333,11,語学力,名詞,固有名詞,一般,*,語学力,41
335,11,身,名詞,一般,*,*,身,38
337,11,つける,動詞,自立,*,*,つける,31
341,12,文献,名詞,一般,*,*,文献,38
349,12,昔,名詞,副詞可能,*,*,昔,67
351,12,書か,動詞,自立,*,*,書く,31
359,12,いま,名詞,副詞可能,*,*,いま,67
360,12,なお,副詞,一般,*,*,なお,34
361,12,古びる,動詞,自立,*,*,古びる,31
364,12,ない,形容詞,自立,*,*,ない,10
366,12,普遍,名詞,一般,*,*,普遍,38
367,12,的,名詞,接尾,形容動詞語幹,*,的,52
369,12,価値,名詞,一般,*,*,価値,38
371,12,持っ,動詞,自立,*,*,持つ,31
375,13,当時,名詞,副詞可能,*,*,当時,67
377,13,人々,名詞,一般,*,*,人々,38
379,13,書い,動詞,自立,*,*,書く,31
381,13,文献,名詞,一般,*,*,文献,38
384,13,翻訳,名詞,サ変接続,*,*,翻訳,36
386,13,よら,動詞,自立,*,*,よる,31
388,13,直接,名詞,副詞可能,*,*,直接,67
390,13,読む,動詞,自立,*,*,読む,31
394,13,古典,名詞,一般,*,*,古典,38
395,13,文献,名詞,一般,*,*,文献,38
397,13,理解,名詞,サ変接続,*,*,理解,36
399,13,深め,動詞,自立,*,*,深める,31
405,14,継続,名詞,サ変接続,*,*,継続,36
407,14,学習,名詞,サ変接続,*,*,学習,36
409,14,うち,名詞,非自立,副詞可能,*,うち,66
411,14,本学,名詞,一般,*,*,本学,38
412,14,期,名詞,接尾,一般,*,期,51
417,14,段階,名詞,一般,*,*,段階,38
419,14,学ぶ,動詞,自立,*,*,学ぶ,31
1,0,古典,名詞,一般,*,*,古典,38
2,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
4,0,文法,名詞,一般,*,*,文法,38
6,0,学ぶ,動詞,自立,*,*,学ぶ,31
10,0,古典,名詞,一般,*,*,古典,38
11,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
13,0,書か,動詞,自立,*,*,書く,31
16,0,文献,名詞,一般,*,*,文献,38
18,0,読む,動詞,自立,*,*,読む,31
21,0,出来る,動詞,自立,*,*,出来る,31
22,0,語学力,名詞,固有名詞,一般,*,語学力,41
24,0,身,名詞,一般,*,*,身,38
26,0,つける,動詞,自立,*,*,つける,31
30,1,文献,名詞,一般,*,*,文献,38
38,1,昔,名詞,副詞可能,*,*,昔,67
40,1,書か,動詞,自立,*,*,書く,31
48,1,いま,名詞,副詞可能,*,*,いま,67
49,1,なお,副詞,一般,*,*,なお,34
50,1,古びる,動詞,自立,*,*,古びる,31
53,1,ない,形容詞,自立,*,*,ない,10
55,1,普遍,名詞,一般,*,*,普遍,38
56,1,的,名詞,接尾,形容動詞語幹,*,的,52
58,1,価値,名詞,一般,*,*,価値,38
60,1,持っ,動詞,自立,*,*,持つ,31
64,2,当時,名詞,副詞可能,*,*,当時,67
66,2,人々,名詞,一般,*,*,人々,38
68,2,書い,動詞,自立,*,*,書く,31
70,2,文献,名詞,一般,*,*,文献,38
73,2,翻訳,名詞,サ変接続,*,*,翻訳,36
75,2,よら,動詞,自立,*,*,よる,31
77,2,直接,名詞,副詞可能,*,*,直接,67
79,2,読む,動詞,自立,*,*,読む,31
83,2,古典,名詞,一般,*,*,古典,38
84,2,文献,名詞,一般,*,*,文献,38
86,2,理解,名詞,サ変接続,*,*,理解,36
88,2,深め,動詞,自立,*,*,深める,31
92,3,古典,名詞,一般,*,*,古典,38
93,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
95,3,文法,名詞,一般,*,*,文法,38
97,3,学ぶ,動詞,自立,*,*,学ぶ,31
101,3,古典,名詞,一般,*,*,古典,38
102,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
104,3,書か,動詞,自立,*,*,書く,31
107,3,文献,名詞,一般,*,*,文献,38
109,3,読む,動詞,自立,*,*,読む,31
112,3,出来る,動詞,自立,*,*,出来る,31
113,3,語学力,名詞,固有名詞,一般,*,語学力,41
115,3,身,名詞,一般,*,*,身,38
117,3,つける,動詞,自立,*,*,つける,31
121,4,文献,名詞,一般,*,*,文献,38
129,4,昔,名詞,副詞可能,*,*,昔,67
131,4,書か,動詞,自立,*,*,書く,31
139,4,いま,名詞,副詞可能,*,*,いま,67
140,4,なお,副詞,一般,*,*,なお,34
141,4,古びる,動詞,自立,*,*,古びる,31
144,4,ない,形容詞,自立,*,*,ない,10
146,4,普遍,名詞,一般,*,*,普遍,38
147,4,的,名詞,接尾,形容動詞語幹,*,的,52
149,4,価値,名詞,一般,*,*,価値,38
151,4,持っ,動詞,自立,*,*,持つ,31
155,5,当時,名詞,副詞可能,*,*,当時,67
157,5,人々,名詞,一般,*,*,人々,38
159,5,書い,動詞,自立,*,*,書く,31
161,5,文献,名詞,一般,*,*,文献,38
164,5,翻訳,名詞,サ変接続,*,*,翻訳,36
166,5,よら,動詞,自立,*,*,よる,31
168,5,直接,名詞,副詞可能,*,*,直接,67
170,5,読む,動詞,自立,*,*,読む,31
174,5,古典,名詞,一般,*,*,古典,38
175,5,文献,名詞,一般,*,*,文献,38
177,5,理解,名詞,サ変接続,*,*,理解,36
179,5,深め,動詞,自立,*,*,深める,31
185,6,継続,名詞,サ変接続,*,*,継続,36
187,6,学習,名詞,サ変接続,*,*,学習,36
189,6,うち,名詞,非自立,副詞可能,*,うち,66
191,6,本学,名詞,一般,*,*,本学,38
192,6,期,名詞,接尾,一般,*,期,51
197,6,段階,名詞,一般,*,*,段階,38
199,6,学ぶ,動詞,自立,*,*,学ぶ,31
202,7,古典,名詞,一般,*,*,古典,38
203,7,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
205,7,文法,名詞,一般,*,*,文法,38
207,7,学ぶ,動詞,自立,*,*,学ぶ,31
211,7,古典,名詞,一般,*,*,古典,38
212,7,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
214,7,書か,動詞,自立,*,*,書く,31
217,7,文献,名詞,一般,*,*,文献,38
219,7,読む,動詞,自立,*,*,読む,31
222,7,出来る,動詞,自立,*,*,出来る,31
223,7,語学力,名詞,固有名詞,一般,*,語学力,41
225,7,身,名詞,一般,*,*,身,38
227,7,つける,動詞,自立,*,*,つける,31
231,8,文献,名詞,一般,*,*,文献,38
239,8,昔,名詞,副詞可能,*,*,昔,67
241,8,書か,動詞,自立,*,*,書く,31
249,8,いま,名詞,副詞可能,*,*,いま,67
250,8,なお,副詞,一般,*,*,なお,34
251,8,古びる,動詞,自立,*,*,古びる,31
254,8,ない,形容詞,自立,*,*,ない,10
256,8,普遍,名詞,一般,*,*,普遍,38
257,8,的,名詞,接尾,形容動詞語幹,*,的,52
259,8,価値,名詞,一般,*,*,価値,38
261,8,持っ,動詞,自立,*,*,持つ,31
265,9,当時,名詞,副詞可能,*,*,当時,67
267,9,人々,名詞,一般,*,*,人々,38
269,9,書い,動詞,自立,*,*,書く,31
271,9,文献,名詞,一般,*,*,文献,38
274,9,翻訳,名詞,サ変接続,*,*,翻訳,36
276,9,よら,動詞,自立,*,*,よる,31
278,9,直接,名詞,副詞可能,*,*,直接,67
280,9,読む,動詞,自立,*,*,読む,31
284,9,古典,名詞,一般,*,*,古典,38
285,9,文献,名詞,一般,*,*,文献,38
287,9,理解,名詞,サ変接続,*,*,理解,36
289,9,深め,動詞,自立,*,*,深める,31
295,10,継続,名詞,サ変接続,*,*,継続,36
297,10,学習,名詞,サ変接続,*,*,学習,36
299,10,うち,名詞,非自立,副詞可能,*,うち,66
301,10,本学,名詞,一般,*,*,本学,38
302,10,期,名詞,接尾,一般,*,期,51
307,10,段階,名詞,一般,*,*,段階,38
309,10,学ぶ,動詞,自立,*,*,学ぶ,31
312,11,古典,名詞,一般,*,*,古典,38
313,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
315,11,文法,名詞,一般,*,*,文法,38
317,11,学ぶ,動詞,自立,*,*,学ぶ,31
321,11,古典,名詞,一般,*,*,古典,38
322,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
324,11,書か,動詞,自立,*,*,書く,31
327,11,文献,名詞,一般,*,*,文献,38
329,11,読む,動詞,自立,*,*,読む,31
332,11,出来る,動詞,自立,*,*,出来る,31
333,11,語学力,名詞,固有名詞,一般,*,語学力,41
335,11,身,名詞,一般,*,*,身,38
337,11,つける,動詞,自立,*,*,つける,31
341,12,文献,名詞,一般,*,*,文献,38
349,12,昔,名詞,副詞可能,*,*,昔,67
351,12,書か,動詞,自立,*,*,書く,31
359,12,いま,名詞,副詞可能,*,*,いま,67
360,12,なお,副詞,一般,*,*,なお,34
361,12,古びる,動詞,自立,*,*,古びる,31
364,12,ない,形容詞,自立,*,*,ない,10
366,12,普遍,名詞,一般,*,*,普遍,38
367,12,的,名詞,接尾,形容動詞語幹,*,的,52
369,12,価値,名詞,一般,*,*,価値,38
371,12,持っ,動詞,自立,*,*,持つ,31
375,13,当時,名詞,副詞可能,*,*,当時,67
377,13,人々,名詞,一般,*,*,人々,38
379,13,書い,動詞,自立,*,*,書く,31
381,13,文献,名詞,一般,*,*,文献,38
384,13,翻訳,名詞,サ変接続,*,*,翻訳,36
386,13,よら,動詞,自立,*,*,よる,31
388,13,直接,名詞,副詞可能,*,*,直接,67
390,13,読む,動詞,自立,*,*,読む,31
394,13,古典,名詞,一般,*,*,古典,38
395,13,文献,名詞,一般,*,*,文献,38
397,13,理解,名詞,サ変接続,*,*,理解,36
399,13,深め,動詞,自立,*,*,深める,31
405,14,継続,名詞,サ変接続,*,*,継続,36
407,14,学習,名詞,サ変接続,*,*,学習,36
409,14,うち,名詞,非自立,副詞可能,*,うち,66
411,14,本学,名詞,一般,*,*,本学,38
412,14,期,名詞,接尾,一般,*,期,51
417,14,段階,名詞,一般,*,*,段階,38
419,14,学ぶ,動詞,自立,*,*,学ぶ,31
1,0,古典,名詞,一般,*,*,古典,38
2,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
4,0,文法,名詞,一般,*,*,文法,38
6,0,学ぶ,動詞,自立,*,*,学ぶ,31
10,0,古典,名詞,一般,*,*,古典,38
11,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
13,0,書か,動詞,自立,*,*,書く,31
16,0,文献,名詞,一般,*,*,文献,38
18,0,読む,動詞,自立,*,*,読む,31
21,0,出来る,動詞,自立,*,*,出来る,31
22,0,語学力,名詞,固有名詞,一般,*,語学力,41
24,0,身,名詞,一般,*,*,身,38
26,0,つける,動詞,自立,*,*,つける,31
30,1,文献,名詞,一般,*,*,文献,38
38,1,昔,名詞,副詞可能,*,*,昔,67
40,1,書か,動詞,自立,*,*,書く,31
48,1,いま,名詞,副詞可能,*,*,いま,67
49,1,なお,副詞,一般,*,*,なお,34
50,1,古びる,動詞,自立,*,*,古びる,31
53,1,ない,形容詞,自立,*,*,ない,10
55,1,普遍,名詞,一般,*,*,普遍,38
56,1,的,名詞,接尾,形容動詞語幹,*,的,52
58,1,価値,名詞,一般,*,*,価値,38
60,1,持っ,動詞,自立,*,*,持つ,31
64,2,当時,名詞,副詞可能,*,*,当時,67
66,2,人々,名詞,一般,*,*,人々,38
68,2,書い,動詞,自立,*,*,書く,31
70,2,文献,名詞,一般,*,*,文献,38
73,2,翻訳,名詞,サ変接続,*,*,翻訳,36
75,2,よら,動詞,自立,*,*,よる,31
77,2,直接,名詞,副詞可能,*,*,直接,67
79,2,読む,動詞,自立,*,*,読む,31
83,2,古典,名詞,一般,*,*,古典,38
84,2,文献,名詞,一般,*,*,文献,38
86,2,理解,名詞,サ変接続,*,*,理解,36
88,2,深め,動詞,自立,*,*,深める,31
92,3,古典,名詞,一般,*,*,古典,38
93,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
95,3,文法,名詞,一般,*,*,文法,38
97,3,学ぶ,動詞,自立,*,*,学ぶ,31
101,3,古典,名詞,一般,*,*,古典,38
102,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
104,3,書か,動詞,自立,*,*,書く,31
107,3,文献,名詞,一般,*,*,文献,38
109,3,読む,動詞,自立,*,*,読む,31
112,3,出来る,動詞,自立,*,*,出来る,31
113,3,語学力,名詞,固有名詞,一般,*,語学力,41
115,3,身,名詞,一般,*,*,身,38
117,3,つける,動詞,自立,*,*,つける,31
121,4,文献,名詞,一般,*,*,文献,38
129,4,昔,名詞,副詞可能,*,*,昔,67
131,4,書か,動詞,自立,*,*,書く,31
139,4,いま,名詞,副詞可能,*,*,いま,67
140,4,なお,副詞,一般,*,*,なお,34
141,4,古びる,動詞,自立,*,*,古びる,31
144,4,ない,形容詞,自立,*,*,ない,10
146,4,普遍,名詞,一般,*,*,普遍,38
147,4,的,名詞,接尾,形容動詞語幹,*,的,52
149,4,価値,名詞,一般,*,*,価値,38
151,4,持っ,動詞,自立,*,*,持つ,31
