Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
203,7,文法,名詞,一般,*,*,文法,38
205,7,学ぶ,動詞,自立,*,*,学ぶ,31
209,7,古典,名詞,一般,*,*,古典,38
210,7,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
212,7,書か,動詞,自立,*,*,書く,31
215,7,文献,名詞,一般,*,*,文献,38
217,7,読む,動詞,自立,*,*,読む,31
220,7,出来る,動詞,自立,*,*,出来る,31
221,7,語学力,名詞,固有名詞,一般,*,語学力,41
223,7,身,名詞,一般,*,*,身,38
225,7,つける,動詞,自立,*,*,つける,31
229,8,文献,名詞,一般,*,*,文献,38
238,8,昔,名詞,副詞可能,*,*,昔,67
240,8,書か,動詞,自立,*,*,書く,31
248,8,いま,名詞,副詞可能,*,*,いま,67
249,8,なお,副詞,一般,*,*,なお,34
250,8,古びる,動詞,自立,*,*,古びる,31
253,8,ない,形容詞,自立,*,*,ない,10
255,8,普遍,名詞,一般,*,*,普遍,38
256,8,的,名詞,接尾,形容動詞語幹,*,的,52
258,8,価値,名詞,一般,*,*,価値,38
260,8,持っ,動詞,自立,*,*,持つ,31
264,9,当時,名詞,副詞可能,*,*,当時,67
266,9,人々,名詞,一般,*,*,人々,38
268,9,書い,動詞,自立,*,*,書く,31
270,9,文献,名詞,一般,*,*,文献,38
273,9,翻訳,名詞,サ変接続,*,*,翻訳,36
275,9,よら,動詞,自立,*,*,よる,31
277,9,直接,名詞,副詞可能,*,*,直接,67
279,9,読む,動詞,自立,*,*,読む,31
283,9,古典,名詞,一般,*,*,古典,38
284,9,文献,名詞,一般,*,*,文献,38
286,9,理解,名詞,サ変接続,*,*,理解,36
288,9,深め,動詞,自立,*,*,深める,31
293,10,継続,名詞,サ変接続,*,*,継続,36
295,10,学習,名詞,サ変接続,*,*,学習,36
297,10,うち,名詞,非自立,副詞可能,*,うち,66
299,10,本学,名詞,一般,*,*,本学,38
300,10,期,名詞,接尾,一般,*,期,51
305,10,段階,名詞,一般,*,*,段階,38
307,10,学ぶ,動詞,自立,*,*,学ぶ,31
309,11,古典,名詞,一般,*,*,古典,38
310,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
312,11,文法,名詞,一般,*,*,文法,38
314,11,学ぶ,動詞,自立,*,*,学ぶ,31
318,11,古典,名詞,一般,*,*,古典,38
319,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
321,11,書か,動詞,自立,*,*,書く,31
324,11,文献,名詞,一般,*,*,文献,38
326,11,読む,動詞,自立,*,*,読む,31
329,11,出来る,動詞,自立,*,*,出来る,31
330,11,語学力,名詞,固有名詞,一般,*,語学力,41
332,11,身,名詞,一般,*,*,身,38
334,11,つける,動詞,自立,*,*,つける,31
338,12,文献,名詞,一般,*,*,文献,38
347,12,昔,名詞,副詞可能,*,*,昔,67
349,12,書か,動詞,自立,*,*,書く,31
357,12,いま,名詞,副詞可能,*,*,いま,67
358,12,なお,副詞,一般,*,*,なお,34
359,12,古びる,動詞,自立,*,*,古びる,31
362,12,ない,形容詞,自立,*,*,ない,10
364,12,普遍,名詞,一般,*,*,普遍,38
365,12,的,名詞,接尾,形容動詞語幹,*,的,52
367,12,価値,名詞,一般,*,*,価値,38
369,12,持っ,動詞,自立,*,*,持つ,31
373,13,当時,名詞,副詞可能,*,*,当時,67
375,13,人々,名詞,一般,*,*,人々,38
377,13,書い,動詞,自立,*,*,書く,31
379,13,文献,名詞,一般,*,*,文献,38
382,13,翻訳,名詞,サ変接続,*,*,翻訳,36
384,13,よら,動詞,自立,*,*,よる,31
386,13,直接,名詞,副詞可能,*,*,直接,67
388,13,読む,動詞,自立,*,*,読む,31
392,13,古典,名詞,一般,*,*,古典,38
393,13,文献,名詞,一般,*,*,文献,38
395,13,理解,名詞,サ変接続,*,*,理解,36
397,13,深め,動詞,自立,*,*,深める,31
402,14,継続,名詞,サ変接続,*,*,継続,36
404,14,学習,名詞,サ変接続,*,*,学習,36
406,14,うち,名詞,非自立,副詞可能,*,うち,66
408,14,本学,名詞,一般,*,*,本学,38
409,14,期,名詞,接尾,一般,*,期,51
414,14,段階,名詞,一般,*,*,段階,38
416,14,学ぶ,動詞,自立,*,*,学ぶ,31
0,0,古典,名詞,一般,*,*,古典,38
1,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
3,0,文法,名詞,一般,*,*,文法,38
5,0,学ぶ,動詞,自立,*,*,学ぶ,31
9,0,古典,名詞,一般,*,*,古典,38
10,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
12,0,書か,動詞,自立,*,*,書く,31
15,0,文献,名詞,一般,*,*,文献,38
17,0,読む,動詞,自立,*,*,読む,31
20,0,出来る,動詞,自立,*,*,出来る,31
21,0,語学力,名詞,固有名詞,一般,*,語学力,41
23,0,身,名詞,一般,*,*,身,38
25,0,つける,動詞,自立,*,*,つける,31
29,1,文献,名詞,一般,*,*,文献,38
38,1,昔,名詞,副詞可能,*,*,昔,67
40,1,書か,動詞,自立,*,*,書く,31
48,1,いま,名詞,副詞可能,*,*,いま,67
49,1,なお,副詞,一般,*,*,なお,34
50,1,古びる,動詞,自立,*,*,古びる,31
53,1,ない,形容詞,自立,*,*,ない,10
55,1,普遍,名詞,一般,*,*,普遍,38
56,1,的,名詞,接尾,形容動詞語幹,*,的,52
58,1,価値,名詞,一般,*,*,価値,38
60,1,持っ,動詞,自立,*,*,持つ,31
64,2,当時,名詞,副詞可能,*,*,当時,67
66,2,人々,名詞,一般,*,*,人々,38
68,2,書い,動詞,自立,*,*,書く,31
70,2,文献,名詞,一般,*,*,文献,38
73,2,翻訳,名詞,サ変接続,*,*,翻訳,36
75,2,よら,動詞,自立,*,*,よる,31
77,2,直接,名詞,副詞可能,*,*,直接,67
79,2,読む,動詞,自立,*,*,読む,31
83,2,古典,名詞,一般,*,*,古典,38
84,2,文献,名詞,一般,*,*,文献,38
86,2,理解,名詞,サ変接続,*,*,理解,36
88,2,深め,動詞,自立,*,*,深める,31
91,3,古典,名詞,一般,*,*,古典,38
92,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
94,3,文法,名詞,一般,*,*,文法,38
96,3,学ぶ,動詞,自立,*,*,学ぶ,31
100,3,古典,名詞,一般,*,*,古典,38
101,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
103,3,書か,動詞,自立,*,*,書く,31
106,3,文献,名詞,一般,*,*,文献,38
108,3,読む,動詞,自立,*,*,読む,31
111,3,出来る,動詞,自立,*,*,出来る,31
112,3,語学力,名詞,固有名詞,一般,*,語学力,41
114,3,身,名詞,一般,*,*,身,38
116,3,つける,動詞,自立,*,*,つける,31
120,4,文献,名詞,一般,*,*,文献,38
129,4,昔,名詞,副詞可能,*,*,昔,67
131,4,書か,動詞,自立,*,*,書く,31
139,4,いま,名詞,副詞可能,*,*,いま,67
140,4,なお,副詞,一般,*,*,なお,34
141,4,古びる,動詞,自立,*,*,古びる,31
144,4,ない,形容詞,自立,*,*,ない,10
146,4,普遍,名詞,一般,*,*,普遍,38
147,4,的,名詞,接尾,形容動詞語幹,*,的,52
149,4,価値,名詞,一般,*,*,価値,38
151,4,持っ,動詞,自立,*,*,持つ,31
155,5,当時,名詞,副詞可能,*,*,当時,67
157,5,人々,名詞,一般,*,*,人々,38
159,5,書い,動詞,自立,*,*,書く,31
161,5,文献,名詞,一般,*,*,文献,38
164,5,翻訳,名詞,サ変接続,*,*,翻訳,36
166,5,よら,動詞,自立,*,*,よる,31
168,5,直接,名詞,副詞可能,*,*,直接,67
170,5,読む,動詞,自立,*,*,読む,31
174,5,古典,名詞,一般,*,*,古典,38
175,5,文献,名詞,一般,*,*,文献,38
177,5,理解,名詞,サ変接続,*,*,理解,36
179,5,深め,動詞,自立,*,*,深める,31
184,6,継続,名詞,サ変接続,*,*,継続,36
186,6,学習,名詞,サ変接続,*,*,学習,36
188,6,うち,名詞,非自立,副詞可能,*,うち,66
190,6,本学,名詞,一般,*,*,本学,38
191,6,期,名詞,接尾,一般,*,期,51
196,6,段階,名詞,一般,*,*,段階,38
198,6,学ぶ,動詞,自立,*,*,学ぶ,31
200,7,古典,名詞,一般,*,*,古典,38
201,7,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
203,7,文法,名詞,一般,*,*,文法,38
205,7,学ぶ,動詞,自立,*,*,学ぶ,31
209,7,古典,名詞,一般,*,*,古典,38
210,7,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
212,7,書か,動詞,自立,*,*,書く,31
215,7,文献,名詞,一般,*,*,文献,38
217,7,読む,動詞,自立,*,*,読む,31
220,7,出来る,動詞,自立,*,*,出来る,31
221,7,語学力,名詞,固有名詞,一般,*,語学力,41
223,7,身,名詞,一般,*,*,身,38
225,7,つける,動詞,自立,*,*,つける,31
229,8,文献,名詞,一般,*,*,文献,38
238,8,昔,名詞,副詞可能,*,*,昔,67
240,8,書か,動詞,自立,*,*,書く,31
248,8,いま,名詞,副詞可能,*,*,いま,67
249,8,なお,副詞,一般,*,*,なお,34
250,8,古びる,動詞,自立,*,*,古びる,31
253,8,ない,形容詞,自立,*,*,ない,10
255,8,普遍,名詞,一般,*,*,普遍,38
256,8,的,名詞,接尾,形容動詞語幹,*,的,52
258,8,価値,名詞,一般,*,*,価値,38
260,8,持っ,動詞,自立,*,*,持つ,31
264,9,当時,名詞,副詞可能,*,*,当時,67
266,9,人々,名詞,一般,*,*,人々,38
268,9,書い,動詞,自立,*,*,書く,31
270,9,文献,名詞,一般,*,*,文献,38
273,9,翻訳,名詞,サ変接続,*,*,翻訳,36
275,9,よら,動詞,自立,*,*,よる,31
277,9,直接,名詞,副詞可能,*,*,直接,67
279,9,読む,動詞,自立,*,*,読む,31
283,9,古典,名詞,一般,*,*,古典,38
284,9,文献,名詞,一般,*,*,文献,38
286,9,理解,名詞,サ変接続,*,*,理解,36
288,9,深め,動詞,自立,*,*,深める,31
293,10,継続,名詞,サ変接続,*,*,継続,36
295,10,学習,名詞,サ変接続,*,*,学習,36
297,10,うち,名詞,非自立,副詞可能,*,うち,66
299,10,本学,名詞,一般,*,*,本学,38
300,10,期,名詞,接尾,一般,*,期,51
305,10,段階,名詞,一般,*,*,段階,38
307,10,学ぶ,動詞,自立,*,*,学ぶ,31
309,11,古典,名詞,一般,*,*,古典,38
310,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
312,11,文法,名詞,一般,*,*,文法,38
314,11,学ぶ,動詞,自立,*,*,学ぶ,31
318,11,古典,名詞,一般,*,*,古典,38
319,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
321,11,書か,動詞,自立,*,*,書く,31
324,11,文献,名詞,一般,*,*,文献,38
326,11,読む,動詞,自立,*,*,読む,31
329,11,出来る,動詞,自立,*,*,出来る,31
330,11,語学力,名詞,固有名詞,一般,*,語学力,41
332,11,身,名詞,一般,*,*,身,38
334,11,つける,動詞,自立,*,*,つける,31
338,12,文献,名詞,一般,*,*,文献,38
347,12,昔,名詞,副詞可能,*,*,昔,67
349,12,書か,動詞,自立,*,*,書く,31
357,12,いま,名詞,副詞可能,*,*,いま,67
358,12,なお,副詞,一般,*,*,なお,34
359,12,古びる,動詞,自立,*,*,古びる,31
362,12,ない,形容詞,自立,*,*,ない,10
364,12,普遍,名詞,一般,*,*,普遍,38
365,12,的,名詞,接尾,形容動詞語幹,*,的,52
367,12,価値,名詞,一般,*,*,価値,38
369,12,持っ,動詞,自立,*,*,持つ,31
373,13,当時,名詞,副詞可能,*,*,当時,67
375,13,人々,名詞,一般,*,*,人々,38
377,13,書い,動詞,自立,*,*,書く,31
379,13,文献,名詞,一般,*,*,文献,38
382,13,翻訳,名詞,サ変接続,*,*,翻訳,36
384,13,よら,動詞,自立,*,*,よる,31
386,13,直接,名詞,副詞可能,*,*,直接,67
388,13,読む,動詞,自立,*,*,読む,31
392,13,古典,名詞,一般,*,*,古典,38
393,13,文献,名詞,一般,*,*,文献,38
395,13,理解,名詞,サ変接続,*,*,理解,36
397,13,深め,動詞,自立,*,*,深める,31
402,14,継続,名詞,サ変接続,*,*,継続,36
404,14,学習,名詞,サ変接続,*,*,学習,36
406,14,うち,名詞,非自立,副詞可能,*,うち,66
408,14,本学,名詞,一般,*,*,本学,38
409,14,期,名詞,接尾,一般,*,期,51
414,14,段階,名詞,一般,*,*,段階,38
416,14,学ぶ,動詞,自立,*,*,学ぶ,31
0,0,古典,名詞,一般,*,*,古典,38
1,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
3,0,文法,名詞,一般,*,*,文法,38
5,0,学ぶ,動詞,自立,*,*,学ぶ,31
9,0,古典,名詞,一般,*,*,古典,38
10,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
12,0,書か,動詞,自立,*,*,書く,31
15,0,文献,名詞,一般,*,*,文献,38
17,0,読む,動詞,自立,*,*,読む,31
20,0,出来る,動詞,自立,*,*,出来る,31
21,0,語学力,名詞,固有名詞,一般,*,語学力,41
23,0,身,名詞,一般,*,*,身,38
25,0,つける,動詞,自立,*,*,つける,31
29,1,文献,名詞,一般,*,*,文献,38
38,1,昔,名詞,副詞可能,*,*,昔,67
40,1,書か,動詞,自立,*,*,書く,31
48,1,いま,名詞,副詞可能,*,*,いま,67
49,1,なお,副詞,一般,*,*,なお,34
50,1,古びる,動詞,自立,*,*,古びる,31
53,1,ない,形容詞,自立,*,*,ない,10
55,1,普遍,名詞,一般,*,*,普遍,38
56,1,的,名詞,接尾,形容動詞語幹,*,的,52
58,1,価値,名詞,一般,*,*,価値,38
60,1,持っ,動詞,自立,*,*,持つ,31
64,2,当時,名詞,副詞可能,*,*,当時,67
66,2,人々,名詞,一般,*,*,人々,38
68,2,書い,動詞,自立,*,*,書く,31
70,2,文献,名詞,一般,*,*,文献,38
73,2,翻訳,名詞,サ変接続,*,*,翻訳,36
75,2,よら,動詞,自立,*,*,よる,31
77,2,直接,名詞,副詞可能,*,*,直接,67
79,2,読む,動詞,自立,*,*,読む,31
83,2,古典,名詞,一般,*,*,古典,38
84,2,文献,名詞,一般,*,*,文献,38
86,2,理解,名詞,サ変接続,*,*,理解,36
88,2,深め,動詞,自立,*,*,深める,31
91,3,古典,名詞,一般,*,*,古典,38
92,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
94,3,文法,名詞,一般,*,*,文法,38
96,3,学ぶ,動詞,自立,*,*,学ぶ,31
100,3,古典,名詞,一般,*,*,古典,38
101,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
103,3,書か,動詞,自立,*,*,書く,31
106,3,文献,名詞,一般,*,*,文献,38
108,3,読む,動詞,自立,*,*,読む,31
111,3,出来る,動詞,自立,*,*,出来る,31
112,3,語学力,名詞,固有名詞,一般,*,語学力,41
114,3,身,名詞,一般,*,*,身,38
116,3,つける,動詞,自立,*,*,つける,31
120,4,文献,名詞,一般,*,*,文献,38
129,4,昔,名詞,副詞可能,*,*,昔,67
131,4,書か,動詞,自立,*,*,書く,31
139,4,いま,名詞,副詞可能,*,*,いま,67
140,4,なお,副詞,一般,*,*,なお,34
141,4,古びる,動詞,自立,*,*,古びる,31
144,4,ない,形容詞,自立,*,*,ない,10
146,4,普遍,名詞,一般,*,*,普遍,38
147,4,的,名詞,接尾,形容動詞語幹,*,的,52
149,4,価値,名詞,一般,*,*,価値,38
151,4,持っ,動詞,自立,*,*,持つ,31
155,5,当時,名詞,副詞可能,*,*,当時,67
157,5,人々,名詞,一般,*,*,人々,38
159,5,書い,動詞,自立,*,*,書く,31
161,5,文献,名詞,一般,*,*,文献,38
164,5,翻訳,名詞,サ変接続,*,*,翻訳,36
166,5,よら,動詞,自立,*,*,よる,31
168,5,直接,名詞,副詞可能,*,*,直接,67
170,5,読む,動詞,自立,*,*,読む,31
174,5,古典,名詞,一般,*,*,古典,38
175,5,文献,名詞,一般,*,*,文献,38
177,5,理解,名詞,サ変接続,*,*,理解,36
179,5,深め,動詞,自立,*,*,深める,31
184,6,継続,名詞,サ変接続,*,*,継続,36
186,6,学習,名詞,サ変接続,*,*,学習,36
188,6,うち,名詞,非自立,副詞可能,*,うち,66
190,6,本学,名詞,一般,*,*,本学,38
191,6,期,名詞,接尾,一般,*,期,51
196,6,段階,名詞,一般,*,*,段階,38
198,6,学ぶ,動詞,自立,*,*,学ぶ,31
200,7,古典,名詞,一般,*,*,古典,38
201,7,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
203,7,文法,名詞,一般,*,*,文法,38
205,7,学ぶ,動詞,自立,*,*,学ぶ,31
209,7,古典,名詞,一般,*,*,古典,38
210,7,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
212,7,書か,動詞,自立,*,*,書く,31
215,7,文献,名詞,一般,*,*,文献,38
217,7,読む,動詞,自立,*,*,読む,31
220,7,出来る,動詞,自立,*,*,出来る,31
221,7,語学力,名詞,固有名詞,一般,*,語学力,41
223,7,身,名詞,一般,*,*,身,38
225,7,つける,動詞,自立,*,*,つける,31
229,8,文献,名詞,一般,*,*,文献,38
238,8,昔,名詞,副詞可能,*,*,昔,67
240,8,書か,動詞,自立,*,*,書く,31
248,8,いま,名詞,副詞可能,*,*,いま,67
249,8,なお,副詞,一般,*,*,なお,34
250,8,古びる,動詞,自立,*,*,古びる,31
253,8,ない,形容詞,自立,*,*,ない,10
255,8,普遍,名詞,一般,*,*,普遍,38
256,8,的,名詞,接尾,形容動詞語幹,*,的,52
258,8,価値,名詞,一般,*,*,価値,38
260,8,持っ,動詞,自立,*,*,持つ,31
264,9,当時,名詞,副詞可能,*,*,当時,67
266,9,人々,名詞,一般,*,*,人々,38
268,9,書い,動詞,自立,*,*,書く,31
270,9,文献,名詞,一般,*,*,文献,38
273,9,翻訳,名詞,サ変接続,*,*,翻訳,36
275,9,よら,動詞,自立,*,*,よる,31
277,9,直接,名詞,副詞可能,*,*,直接,67
279,9,読む,動詞,自立,*,*,読む,31
283,9,古典,名詞,一般,*,*,古典,38
284,9,文献,名詞,一般,*,*,文献,38
286,9,理解,名詞,サ変接続,*,*,理解,36
288,9,深め,動詞,自立,*,*,深める,31
293,10,継続,名詞,サ変接続,*,*,継続,36
295,10,学習,名詞,サ変接続,*,*,学習,36
297,10,うち,名詞,非自立,副詞可能,*,うち,66
299,10,本学,名詞,一般,*,*,本学,38
300,10,期,名詞,接尾,一般,*,期,51
305,10,段階,名詞,一般,*,*,段階,38
307,10,学ぶ,動詞,自立,*,*,学ぶ,31
309,11,古典,名詞,一般,*,*,古典,38
310,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
312,11,文法,名詞,一般,*,*,文法,38
314,11,学ぶ,動詞,自立,*,*,学ぶ,31
318,11,古典,名詞,一般,*,*,古典,38
319,11,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
321,11,書か,動詞,自立,*,*,書く,31
324,11,文献,名詞,一般,*,*,文献,38
326,11,読む,動詞,自立,*,*,読む,31
329,11,出来る,動詞,自立,*,*,出来る,31
330,11,語学力,名詞,固有名詞,一般,*,語学力,41
332,11,身,名詞,一般,*,*,身,38
334,11,つける,動詞,自立,*,*,つける,31
338,12,文献,名詞,一般,*,*,文献,38
347,12,昔,名詞,副詞可能,*,*,昔,67
349,12,書か,動詞,自立,*,*,書く,31
357,12,いま,名詞,副詞可能,*,*,いま,67
358,12,なお,副詞,一般,*,*,なお,34
359,12,古びる,動詞,自立,*,*,古びる,31
362,12,ない,形容詞,自立,*,*,ない,10
364,12,普遍,名詞,一般,*,*,普遍,38
365,12,的,名詞,接尾,形容動詞語幹,*,的,52
367,12,価値,名詞,一般,*,*,価値,38
369,12,持っ,動詞,自立,*,*,持つ,31
373,13,当時,名詞,副詞可能,*,*,当時,67
375,13,人々,名詞,一般,*,*,人々,38
377,13,書い,動詞,自立,*,*,書く,31
379,13,文献,名詞,一般,*,*,文献,38
382,13,翻訳,名詞,サ変接続,*,*,翻訳,36
384,13,よら,動詞,自立,*,*,よる,31
386,13,直接,名詞,副詞可能,*,*,直接,67
388,13,読む,動詞,自立,*,*,読む,31
392,13,古典,名詞,一般,*,*,古典,38
393,13,文献,名詞,一般,*,*,文献,38
395,13,理解,名詞,サ変接続,*,*,理解,36
397,13,深め,動詞,自立,*,*,深める,31
402,14,継続,名詞,サ変接続,*,*,継続,36
404,14,学習,名詞,サ変接続,*,*,学習,36
406,14,うち,名詞,非自立,副詞可能,*,うち,66
408,14,本学,名詞,一般,*,*,本学,38
409,14,期,名詞,接尾,一般,*,期,51
414,14,段階,名詞,一般,*,*,段階,38
416,14,学ぶ,動詞,自立,*,*,学ぶ,31
0,0,古典,名詞,一般,*,*,古典,38
1,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
3,0,文法,名詞,一般,*,*,文法,38
5,0,学ぶ,動詞,自立,*,*,学ぶ,31
9,0,古典,名詞,一般,*,*,古典,38
10,0,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
12,0,書か,動詞,自立,*,*,書く,31
15,0,文献,名詞,一般,*,*,文献,38
17,0,読む,動詞,自立,*,*,読む,31
20,0,出来る,動詞,自立,*,*,出来る,31
21,0,語学力,名詞,固有名詞,一般,*,語学力,41
23,0,身,名詞,一般,*,*,身,38
25,0,つける,動詞,自立,*,*,つける,31
29,1,文献,名詞,一般,*,*,文献,38
38,1,昔,名詞,副詞可能,*,*,昔,67
40,1,書か,動詞,自立,*,*,書く,31
48,1,いま,名詞,副詞可能,*,*,いま,67
49,1,なお,副詞,一般,*,*,なお,34
50,1,古びる,動詞,自立,*,*,古びる,31
53,1,ない,形容詞,自立,*,*,ない,10
55,1,普遍,名詞,一般,*,*,普遍,38
56,1,的,名詞,接尾,形容動詞語幹,*,的,52
58,1,価値,名詞,一般,*,*,価値,38
60,1,持っ,動詞,自立,*,*,持つ,31
64,2,当時,名詞,副詞可能,*,*,当時,67
66,2,人々,名詞,一般,*,*,人々,38
68,2,書い,動詞,自立,*,*,書く,31
70,2,文献,名詞,一般,*,*,文献,38
73,2,翻訳,名詞,サ変接続,*,*,翻訳,36
75,2,よら,動詞,自立,*,*,よる,31
77,2,直接,名詞,副詞可能,*,*,直接,67
79,2,読む,動詞,自立,*,*,読む,31
83,2,古典,名詞,一般,*,*,古典,38
84,2,文献,名詞,一般,*,*,文献,38
86,2,理解,名詞,サ変接続,*,*,理解,36
88,2,深め,動詞,自立,*,*,深める,31
91,3,古典,名詞,一般,*,*,古典,38
92,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
94,3,文法,名詞,一般,*,*,文法,38
96,3,学ぶ,動詞,自立,*,*,学ぶ,31
100,3,古典,名詞,一般,*,*,古典,38
101,3,ギリシア語,名詞,固有名詞,一般,*,ギリシア語,41
103,3,書か,動詞,自立,*,*,書く,31
106,3,文献,名詞,一般,*,*,文献,38
108,3,読む,動詞,自立,*,*,読む,31
111,3,出来る,動詞,自立,*,*,出来る,31
112,3,語学力,名詞,固有名詞,一般,*,語学力,41
114,3,身,名詞,一般,*,*,身,38
116,3,つける,動詞,自立,*,*,つける,31
120,4,文献,名詞,一般,*,*,文献,38
129,4,昔,名詞,副詞可能,*,*,昔,67
131,4,書か,動詞,自立,*,*,書く,31
139,4,いま,名詞,副詞可能,*,*,いま,67
140,4,なお,副詞,一般,*,*,なお,34
141,4,古びる,動詞,自立,*,*,古びる,31
144,4,ない,形容詞,自立,*,*,ない,10
146,4,普遍,名詞,一般,*,*,普遍,38
147,4,的,名詞,接尾,形容動詞語幹,*,的,52
149,4,価値,名詞,一般,*,*,価値,38
151,4,持っ,動詞,自立,*,*,持つ,31
