Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
164,0,文化,名詞,一般,*,*,文化,38
167,0,知識,名詞,一般,*,*,知識,38
169,0,深める,動詞,自立,*,*,深める,31
2,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,文法,名詞,一般,*,*,文法,38
7,0,知識,名詞,一般,*,*,知識,38
9,0,定着,名詞,サ変接続,*,*,定着,36
14,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
16,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
18,0,文章,名詞,一般,*,*,文章,38
20,0,読める,動詞,自立,*,*,読める,31
23,0,なる,動詞,自立,*,*,なる,31
26,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
28,0,文化,名詞,一般,*,*,文化,38
31,0,知識,名詞,一般,*,*,知識,38
33,0,深める,動詞,自立,*,*,深める,31
36,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
38,0,文法,名詞,一般,*,*,文法,38
41,0,知識,名詞,一般,*,*,知識,38
43,0,定着,名詞,サ変接続,*,*,定着,36
48,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
50,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
52,0,文章,名詞,一般,*,*,文章,38
54,0,読める,動詞,自立,*,*,読める,31
57,0,なる,動詞,自立,*,*,なる,31
60,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
62,0,文化,名詞,一般,*,*,文化,38
65,0,知識,名詞,一般,*,*,知識,38
67,0,深める,動詞,自立,*,*,深める,31
70,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
72,0,文法,名詞,一般,*,*,文法,38
75,0,知識,名詞,一般,*,*,知識,38
77,0,定着,名詞,サ変接続,*,*,定着,36
82,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
84,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
86,0,文章,名詞,一般,*,*,文章,38
88,0,読める,動詞,自立,*,*,読める,31
91,0,なる,動詞,自立,*,*,なる,31
94,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
96,0,文化,名詞,一般,*,*,文化,38
99,0,知識,名詞,一般,*,*,知識,38
101,0,深める,動詞,自立,*,*,深める,31
104,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
106,0,文法,名詞,一般,*,*,文法,38
109,0,知識,名詞,一般,*,*,知識,38
111,0,定着,名詞,サ変接続,*,*,定着,36
116,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
118,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
120,0,文章,名詞,一般,*,*,文章,38
122,0,読める,動詞,自立,*,*,読める,31
125,0,なる,動詞,自立,*,*,なる,31
128,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
130,0,文化,名詞,一般,*,*,文化,38
133,0,知識,名詞,一般,*,*,知識,38
135,0,深める,動詞,自立,*,*,深める,31
138,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
140,0,文法,名詞,一般,*,*,文法,38
143,0,知識,名詞,一般,*,*,知識,38
145,0,定着,名詞,サ変接続,*,*,定着,36
150,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
152,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
154,0,文章,名詞,一般,*,*,文章,38
156,0,読める,動詞,自立,*,*,読める,31
159,0,なる,動詞,自立,*,*,なる,31
162,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
164,0,文化,名詞,一般,*,*,文化,38
167,0,知識,名詞,一般,*,*,知識,38
169,0,深める,動詞,自立,*,*,深める,31
2,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,文法,名詞,一般,*,*,文法,38
7,0,知識,名詞,一般,*,*,知識,38
9,0,定着,名詞,サ変接続,*,*,定着,36
14,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
16,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
18,0,文章,名詞,一般,*,*,文章,38
20,0,読める,動詞,自立,*,*,読める,31
23,0,なる,動詞,自立,*,*,なる,31
26,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
28,0,文化,名詞,一般,*,*,文化,38
31,0,知識,名詞,一般,*,*,知識,38
33,0,深める,動詞,自立,*,*,深める,31
36,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
38,0,文法,名詞,一般,*,*,文法,38
41,0,知識,名詞,一般,*,*,知識,38
43,0,定着,名詞,サ変接続,*,*,定着,36
48,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
50,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
52,0,文章,名詞,一般,*,*,文章,38
54,0,読める,動詞,自立,*,*,読める,31
57,0,なる,動詞,自立,*,*,なる,31
60,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
62,0,文化,名詞,一般,*,*,文化,38
65,0,知識,名詞,一般,*,*,知識,38
67,0,深める,動詞,自立,*,*,深める,31
70,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
72,0,文法,名詞,一般,*,*,文法,38
75,0,知識,名詞,一般,*,*,知識,38
77,0,定着,名詞,サ変接続,*,*,定着,36
82,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
84,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
86,0,文章,名詞,一般,*,*,文章,38
88,0,読める,動詞,自立,*,*,読める,31
91,0,なる,動詞,自立,*,*,なる,31
94,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
96,0,文化,名詞,一般,*,*,文化,38
99,0,知識,名詞,一般,*,*,知識,38
101,0,深める,動詞,自立,*,*,深める,31
104,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
106,0,文法,名詞,一般,*,*,文法,38
109,0,知識,名詞,一般,*,*,知識,38
111,0,定着,名詞,サ変接続,*,*,定着,36
116,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
118,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
120,0,文章,名詞,一般,*,*,文章,38
122,0,読める,動詞,自立,*,*,読める,31
125,0,なる,動詞,自立,*,*,なる,31
128,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
130,0,文化,名詞,一般,*,*,文化,38
133,0,知識,名詞,一般,*,*,知識,38
135,0,深める,動詞,自立,*,*,深める,31
138,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
140,0,文法,名詞,一般,*,*,文法,38
143,0,知識,名詞,一般,*,*,知識,38
145,0,定着,名詞,サ変接続,*,*,定着,36
150,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
152,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
154,0,文章,名詞,一般,*,*,文章,38
156,0,読める,動詞,自立,*,*,読める,31
159,0,なる,動詞,自立,*,*,なる,31
162,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
164,0,文化,名詞,一般,*,*,文化,38
167,0,知識,名詞,一般,*,*,知識,38
169,0,深める,動詞,自立,*,*,深める,31
2,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,文法,名詞,一般,*,*,文法,38
7,0,知識,名詞,一般,*,*,知識,38
9,0,定着,名詞,サ変接続,*,*,定着,36
14,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
16,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
18,0,文章,名詞,一般,*,*,文章,38
20,0,読める,動詞,自立,*,*,読める,31
23,0,なる,動詞,自立,*,*,なる,31
26,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
28,0,文化,名詞,一般,*,*,文化,38
31,0,知識,名詞,一般,*,*,知識,38
33,0,深める,動詞,自立,*,*,深める,31
36,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
38,0,文法,名詞,一般,*,*,文法,38
41,0,知識,名詞,一般,*,*,知識,38
43,0,定着,名詞,サ変接続,*,*,定着,36
48,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
50,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
52,0,文章,名詞,一般,*,*,文章,38
54,0,読める,動詞,自立,*,*,読める,31
57,0,なる,動詞,自立,*,*,なる,31
60,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
62,0,文化,名詞,一般,*,*,文化,38
65,0,知識,名詞,一般,*,*,知識,38
67,0,深める,動詞,自立,*,*,深める,31
70,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
72,0,文法,名詞,一般,*,*,文法,38
75,0,知識,名詞,一般,*,*,知識,38
77,0,定着,名詞,サ変接続,*,*,定着,36
82,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
84,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
86,0,文章,名詞,一般,*,*,文章,38
88,0,読める,動詞,自立,*,*,読める,31
91,0,なる,動詞,自立,*,*,なる,31
94,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
96,0,文化,名詞,一般,*,*,文化,38
99,0,知識,名詞,一般,*,*,知識,38
101,0,深める,動詞,自立,*,*,深める,31
104,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
106,0,文法,名詞,一般,*,*,文法,38
109,0,知識,名詞,一般,*,*,知識,38
111,0,定着,名詞,サ変接続,*,*,定着,36
116,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
118,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
120,0,文章,名詞,一般,*,*,文章,38
122,0,読める,動詞,自立,*,*,読める,31
125,0,なる,動詞,自立,*,*,なる,31
128,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
130,0,文化,名詞,一般,*,*,文化,38
133,0,知識,名詞,一般,*,*,知識,38
135,0,深める,動詞,自立,*,*,深める,31
138,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
140,0,文法,名詞,一般,*,*,文法,38
143,0,知識,名詞,一般,*,*,知識,38
145,0,定着,名詞,サ変接続,*,*,定着,36
150,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
152,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
154,0,文章,名詞,一般,*,*,文章,38
156,0,読める,動詞,自立,*,*,読める,31
159,0,なる,動詞,自立,*,*,なる,31
162,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
164,0,文化,名詞,一般,*,*,文化,38
167,0,知識,名詞,一般,*,*,知識,38
169,0,深める,動詞,自立,*,*,深める,31
2,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,文法,名詞,一般,*,*,文法,38
7,0,知識,名詞,一般,*,*,知識,38
9,0,定着,名詞,サ変接続,*,*,定着,36
14,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
16,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
18,0,文章,名詞,一般,*,*,文章,38
20,0,読める,動詞,自立,*,*,読める,31
23,0,なる,動詞,自立,*,*,なる,31
26,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
28,0,文化,名詞,一般,*,*,文化,38
31,0,知識,名詞,一般,*,*,知識,38
33,0,深める,動詞,自立,*,*,深める,31
36,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
38,0,文法,名詞,一般,*,*,文法,38
41,0,知識,名詞,一般,*,*,知識,38
43,0,定着,名詞,サ変接続,*,*,定着,36
48,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
50,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
52,0,文章,名詞,一般,*,*,文章,38
54,0,読める,動詞,自立,*,*,読める,31
57,0,なる,動詞,自立,*,*,なる,31
60,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
62,0,文化,名詞,一般,*,*,文化,38
65,0,知識,名詞,一般,*,*,知識,38
67,0,深める,動詞,自立,*,*,深める,31
70,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
72,0,文法,名詞,一般,*,*,文法,38
75,0,知識,名詞,一般,*,*,知識,38
77,0,定着,名詞,サ変接続,*,*,定着,36
82,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
84,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
86,0,文章,名詞,一般,*,*,文章,38
88,0,読める,動詞,自立,*,*,読める,31
91,0,なる,動詞,自立,*,*,なる,31
94,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
96,0,文化,名詞,一般,*,*,文化,38
99,0,知識,名詞,一般,*,*,知識,38
101,0,深める,動詞,自立,*,*,深める,31
104,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
106,0,文法,名詞,一般,*,*,文法,38
109,0,知識,名詞,一般,*,*,知識,38
111,0,定着,名詞,サ変接続,*,*,定着,36
116,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
118,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
120,0,文章,名詞,一般,*,*,文章,38
122,0,読める,動詞,自立,*,*,読める,31
125,0,なる,動詞,自立,*,*,なる,31
128,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
130,0,文化,名詞,一般,*,*,文化,38
133,0,知識,名詞,一般,*,*,知識,38
135,0,深める,動詞,自立,*,*,深める,31
138,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
140,0,文法,名詞,一般,*,*,文法,38
143,0,知識,名詞,一般,*,*,知識,38
145,0,定着,名詞,サ変接続,*,*,定着,36
150,0,簡単,名詞,形容動詞語幹,*,*,簡単,40
152,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
154,0,文章,名詞,一般,*,*,文章,38
156,0,読める,動詞,自立,*,*,読める,31
159,0,なる,動詞,自立,*,*,なる,31
162,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
164,0,文化,名詞,一般,*,*,文化,38
167,0,知識,名詞,一般,*,*,知識,38
169,0,深める,動詞,自立,*,*,深める,31
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,文法,名詞,一般,*,*,文法,38
3,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
5,0,文化,名詞,一般,*,*,文化,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,文法,名詞,一般,*,*,文法,38
9,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
11,0,文化,名詞,一般,*,*,文化,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,文法,名詞,一般,*,*,文法,38
15,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
17,0,文化,名詞,一般,*,*,文化,38
18,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
19,0,文法,名詞,一般,*,*,文法,38
21,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
23,0,文化,名詞,一般,*,*,文化,38
24,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
25,0,文法,名詞,一般,*,*,文法,38
27,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
29,0,文化,名詞,一般,*,*,文化,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,文法,名詞,一般,*,*,文法,38
3,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
5,0,文化,名詞,一般,*,*,文化,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,文法,名詞,一般,*,*,文法,38
9,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
11,0,文化,名詞,一般,*,*,文化,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,文法,名詞,一般,*,*,文法,38
15,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
17,0,文化,名詞,一般,*,*,文化,38
18,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
19,0,文法,名詞,一般,*,*,文法,38
21,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
23,0,文化,名詞,一般,*,*,文化,38
24,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
25,0,文法,名詞,一般,*,*,文法,38
27,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
29,0,文化,名詞,一般,*,*,文化,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,文法,名詞,一般,*,*,文法,38
3,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
5,0,文化,名詞,一般,*,*,文化,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,文法,名詞,一般,*,*,文法,38
9,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
11,0,文化,名詞,一般,*,*,文化,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,文法,名詞,一般,*,*,文法,38
15,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
17,0,文化,名詞,一般,*,*,文化,38
18,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
19,0,文法,名詞,一般,*,*,文法,38
21,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
23,0,文化,名詞,一般,*,*,文化,38
24,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
25,0,文法,名詞,一般,*,*,文法,38
27,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
29,0,文化,名詞,一般,*,*,文化,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,文法,名詞,一般,*,*,文法,38
3,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
5,0,文化,名詞,一般,*,*,文化,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,文法,名詞,一般,*,*,文法,38
9,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
11,0,文化,名詞,一般,*,*,文化,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,文法,名詞,一般,*,*,文法,38
15,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
17,0,文化,名詞,一般,*,*,文化,38
18,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
19,0,文法,名詞,一般,*,*,文法,38
21,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
23,0,文化,名詞,一般,*,*,文化,38
24,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
25,0,文法,名詞,一般,*,*,文法,38
27,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
29,0,文化,名詞,一般,*,*,文化,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,文法,名詞,一般,*,*,文法,38
3,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
5,0,文化,名詞,一般,*,*,文化,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,文法,名詞,一般,*,*,文法,38
9,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
11,0,文化,名詞,一般,*,*,文化,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,文法,名詞,一般,*,*,文法,38
15,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
17,0,文化,名詞,一般,*,*,文化,38
18,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
19,0,文法,名詞,一般,*,*,文法,38
21,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
23,0,文化,名詞,一般,*,*,文化,38
24,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
25,0,文法,名詞,一般,*,*,文法,38
27,0,ドイツ語圏,名詞,固有名詞,一般,*,ドイツ語圏,41
29,0,文化,名詞,一般,*,*,文化,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,初級,名詞,一般,*,*,初級,38
3,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,初級,名詞,一般,*,*,初級,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,初級,名詞,一般,*,*,初級,38
9,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
10,0,初級,名詞,一般,*,*,初級,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,上級,名詞,一般,*,*,上級,38
15,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
16,0,初級,名詞,一般,*,*,初級,38
18,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
19,0,初級,名詞,一般,*,*,初級,38
21,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
22,0,初級,名詞,一般,*,*,初級,38
24,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
25,0,初級,名詞,一般,*,*,初級,38
27,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
28,0,上級,名詞,一般,*,*,上級,38
30,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
31,0,初級,名詞,一般,*,*,初級,38
33,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
34,0,初級,名詞,一般,*,*,初級,38
36,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
37,0,初級,名詞,一般,*,*,初級,38
39,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
40,0,初級,名詞,一般,*,*,初級,38
42,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
43,0,上級,名詞,一般,*,*,上級,38
45,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
46,0,初級,名詞,一般,*,*,初級,38
48,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
49,0,初級,名詞,一般,*,*,初級,38
51,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
52,0,初級,名詞,一般,*,*,初級,38
54,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
55,0,初級,名詞,一般,*,*,初級,38
57,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
58,0,上級,名詞,一般,*,*,上級,38
60,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
61,0,初級,名詞,一般,*,*,初級,38
63,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
64,0,初級,名詞,一般,*,*,初級,38
66,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
67,0,初級,名詞,一般,*,*,初級,38
69,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
70,0,初級,名詞,一般,*,*,初級,38
72,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
73,0,上級,名詞,一般,*,*,上級,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,中級,名詞,一般,*,*,中級,38
3,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,中級,名詞,一般,*,*,中級,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,中級,名詞,一般,*,*,中級,38
9,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
10,0,中級,名詞,一般,*,*,中級,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,中級,名詞,一般,*,*,中級,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,中級,名詞,一般,*,*,中級,38
3,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,中級,名詞,一般,*,*,中級,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,中級,名詞,一般,*,*,中級,38
9,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
10,0,中級,名詞,一般,*,*,中級,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,中級,名詞,一般,*,*,中級,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,中級,名詞,一般,*,*,中級,38
3,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,中級,名詞,一般,*,*,中級,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,中級,名詞,一般,*,*,中級,38
9,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
10,0,中級,名詞,一般,*,*,中級,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,中級,名詞,一般,*,*,中級,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
1,0,中級,名詞,一般,*,*,中級,38
3,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
4,0,中級,名詞,一般,*,*,中級,38
6,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
7,0,中級,名詞,一般,*,*,中級,38
9,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
10,0,中級,名詞,一般,*,*,中級,38
12,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
13,0,中級,名詞,一般,*,*,中級,38
0,0,ドイツ語,名詞,一般,*,*,ドイツ語,38
