Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
82,3,疑問,名詞,形容動詞語幹,*,*,疑問,40
84,3,投げかけ,動詞,自立,*,*,投げかける,31
86,3,意図,名詞,サ変接続,*,*,意図,36
89,3,結果,名詞,副詞可能,*,*,結果,67
91,3,人間,名詞,一般,*,*,人間,38
93,3,制御,名詞,サ変接続,*,*,制御,36
95,3,外れる,動詞,自立,*,*,外れる,31
99,3,人間,名詞,一般,*,*,人間,38
101,3,生命,名詞,一般,*,*,生命,38
103,3,自然,名詞,形容動詞語幹,*,*,自然,40
105,3,脅威,名詞,一般,*,*,脅威,38
107,3,なる,動詞,自立,*,*,なる,31
108,3,可能,名詞,形容動詞語幹,*,*,可能,40
109,3,性,名詞,接尾,一般,*,性,51
111,3,ある,動詞,自立,*,*,ある,31
112,3,技術,名詞,一般,*,*,技術,38
114,3,自由,名詞,形容動詞語幹,*,*,自由,40
116,3,効果,名詞,一般,*,*,効果,38
117,3,的,名詞,接尾,形容動詞語幹,*,的,52
119,3,批評,名詞,サ変接続,*,*,批評,36
123,3,できる,動詞,自立,*,*,できる,31
0,0,技術,名詞,一般,*,*,技術,38
2,0,美術,名詞,一般,*,*,美術,38
6,0,関係,名詞,サ変接続,*,*,関係,36
8,0,概念,名詞,一般,*,*,概念,38
11,0,批判,名詞,サ変接続,*,*,批判,36
12,0,的,名詞,接尾,形容動詞語幹,*,的,52
15,0,深く,形容詞,自立,*,*,深い,10
16,0,考える,動詞,自立,*,*,考える,31
20,1,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
22,1,哲学,名詞,一般,*,*,哲学,38
25,1,概念,名詞,一般,*,*,概念,38
26,1,化,名詞,接尾,サ変接続,*,化,50
28,1,理解,名詞,サ変接続,*,*,理解,36
31,2,技術,名詞,一般,*,*,技術,38
33,2,科学,名詞,一般,*,*,科学,38
35,2,疑問,名詞,形容動詞語幹,*,*,疑問,40
37,2,投げかけ,動詞,自立,*,*,投げかける,31
39,2,意図,名詞,サ変接続,*,*,意図,36
42,2,結果,名詞,副詞可能,*,*,結果,67
44,2,人間,名詞,一般,*,*,人間,38
46,2,制御,名詞,サ変接続,*,*,制御,36
48,2,外れる,動詞,自立,*,*,外れる,31
52,2,人間,名詞,一般,*,*,人間,38
54,2,生命,名詞,一般,*,*,生命,38
56,2,自然,名詞,形容動詞語幹,*,*,自然,40
58,2,脅威,名詞,一般,*,*,脅威,38
60,2,なる,動詞,自立,*,*,なる,31
61,2,可能,名詞,形容動詞語幹,*,*,可能,40
62,2,性,名詞,接尾,一般,*,性,51
64,2,ある,動詞,自立,*,*,ある,31
65,2,技術,名詞,一般,*,*,技術,38
67,2,自由,名詞,形容動詞語幹,*,*,自由,40
69,2,効果,名詞,一般,*,*,効果,38
70,2,的,名詞,接尾,形容動詞語幹,*,的,52
72,2,批評,名詞,サ変接続,*,*,批評,36
76,2,できる,動詞,自立,*,*,できる,31
78,3,技術,名詞,一般,*,*,技術,38
80,3,科学,名詞,一般,*,*,科学,38
82,3,疑問,名詞,形容動詞語幹,*,*,疑問,40
84,3,投げかけ,動詞,自立,*,*,投げかける,31
86,3,意図,名詞,サ変接続,*,*,意図,36
89,3,結果,名詞,副詞可能,*,*,結果,67
91,3,人間,名詞,一般,*,*,人間,38
93,3,制御,名詞,サ変接続,*,*,制御,36
95,3,外れる,動詞,自立,*,*,外れる,31
99,3,人間,名詞,一般,*,*,人間,38
101,3,生命,名詞,一般,*,*,生命,38
103,3,自然,名詞,形容動詞語幹,*,*,自然,40
105,3,脅威,名詞,一般,*,*,脅威,38
107,3,なる,動詞,自立,*,*,なる,31
108,3,可能,名詞,形容動詞語幹,*,*,可能,40
109,3,性,名詞,接尾,一般,*,性,51
111,3,ある,動詞,自立,*,*,ある,31
112,3,技術,名詞,一般,*,*,技術,38
114,3,自由,名詞,形容動詞語幹,*,*,自由,40
116,3,効果,名詞,一般,*,*,効果,38
117,3,的,名詞,接尾,形容動詞語幹,*,的,52
119,3,批評,名詞,サ変接続,*,*,批評,36
123,3,できる,動詞,自立,*,*,できる,31
0,0,技術,名詞,一般,*,*,技術,38
2,0,美術,名詞,一般,*,*,美術,38
6,0,関係,名詞,サ変接続,*,*,関係,36
8,0,概念,名詞,一般,*,*,概念,38
11,0,批判,名詞,サ変接続,*,*,批判,36
12,0,的,名詞,接尾,形容動詞語幹,*,的,52
15,0,深く,形容詞,自立,*,*,深い,10
16,0,考える,動詞,自立,*,*,考える,31
20,1,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
22,1,哲学,名詞,一般,*,*,哲学,38
25,1,概念,名詞,一般,*,*,概念,38
26,1,化,名詞,接尾,サ変接続,*,化,50
28,1,理解,名詞,サ変接続,*,*,理解,36
31,2,技術,名詞,一般,*,*,技術,38
33,2,科学,名詞,一般,*,*,科学,38
35,2,疑問,名詞,形容動詞語幹,*,*,疑問,40
37,2,投げかけ,動詞,自立,*,*,投げかける,31
39,2,意図,名詞,サ変接続,*,*,意図,36
42,2,結果,名詞,副詞可能,*,*,結果,67
44,2,人間,名詞,一般,*,*,人間,38
46,2,制御,名詞,サ変接続,*,*,制御,36
48,2,外れる,動詞,自立,*,*,外れる,31
52,2,人間,名詞,一般,*,*,人間,38
54,2,生命,名詞,一般,*,*,生命,38
56,2,自然,名詞,形容動詞語幹,*,*,自然,40
58,2,脅威,名詞,一般,*,*,脅威,38
60,2,なる,動詞,自立,*,*,なる,31
61,2,可能,名詞,形容動詞語幹,*,*,可能,40
62,2,性,名詞,接尾,一般,*,性,51
64,2,ある,動詞,自立,*,*,ある,31
65,2,技術,名詞,一般,*,*,技術,38
67,2,自由,名詞,形容動詞語幹,*,*,自由,40
69,2,効果,名詞,一般,*,*,効果,38
70,2,的,名詞,接尾,形容動詞語幹,*,的,52
72,2,批評,名詞,サ変接続,*,*,批評,36
76,2,できる,動詞,自立,*,*,できる,31
78,3,技術,名詞,一般,*,*,技術,38
80,3,科学,名詞,一般,*,*,科学,38
82,3,疑問,名詞,形容動詞語幹,*,*,疑問,40
84,3,投げかけ,動詞,自立,*,*,投げかける,31
86,3,意図,名詞,サ変接続,*,*,意図,36
89,3,結果,名詞,副詞可能,*,*,結果,67
91,3,人間,名詞,一般,*,*,人間,38
93,3,制御,名詞,サ変接続,*,*,制御,36
95,3,外れる,動詞,自立,*,*,外れる,31
99,3,人間,名詞,一般,*,*,人間,38
101,3,生命,名詞,一般,*,*,生命,38
103,3,自然,名詞,形容動詞語幹,*,*,自然,40
105,3,脅威,名詞,一般,*,*,脅威,38
107,3,なる,動詞,自立,*,*,なる,31
108,3,可能,名詞,形容動詞語幹,*,*,可能,40
109,3,性,名詞,接尾,一般,*,性,51
111,3,ある,動詞,自立,*,*,ある,31
112,3,技術,名詞,一般,*,*,技術,38
114,3,自由,名詞,形容動詞語幹,*,*,自由,40
116,3,効果,名詞,一般,*,*,効果,38
117,3,的,名詞,接尾,形容動詞語幹,*,的,52
119,3,批評,名詞,サ変接続,*,*,批評,36
123,3,できる,動詞,自立,*,*,できる,31
0,0,技術,名詞,一般,*,*,技術,38
2,0,美術,名詞,一般,*,*,美術,38
6,0,関係,名詞,サ変接続,*,*,関係,36
8,0,概念,名詞,一般,*,*,概念,38
11,0,批判,名詞,サ変接続,*,*,批判,36
12,0,的,名詞,接尾,形容動詞語幹,*,的,52
15,0,深く,形容詞,自立,*,*,深い,10
16,0,考える,動詞,自立,*,*,考える,31
20,1,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
22,1,哲学,名詞,一般,*,*,哲学,38
25,1,概念,名詞,一般,*,*,概念,38
26,1,化,名詞,接尾,サ変接続,*,化,50
28,1,理解,名詞,サ変接続,*,*,理解,36
31,2,技術,名詞,一般,*,*,技術,38
33,2,科学,名詞,一般,*,*,科学,38
35,2,疑問,名詞,形容動詞語幹,*,*,疑問,40
37,2,投げかけ,動詞,自立,*,*,投げかける,31
39,2,意図,名詞,サ変接続,*,*,意図,36
42,2,結果,名詞,副詞可能,*,*,結果,67
44,2,人間,名詞,一般,*,*,人間,38
46,2,制御,名詞,サ変接続,*,*,制御,36
48,2,外れる,動詞,自立,*,*,外れる,31
52,2,人間,名詞,一般,*,*,人間,38
54,2,生命,名詞,一般,*,*,生命,38
56,2,自然,名詞,形容動詞語幹,*,*,自然,40
58,2,脅威,名詞,一般,*,*,脅威,38
60,2,なる,動詞,自立,*,*,なる,31
61,2,可能,名詞,形容動詞語幹,*,*,可能,40
62,2,性,名詞,接尾,一般,*,性,51
64,2,ある,動詞,自立,*,*,ある,31
65,2,技術,名詞,一般,*,*,技術,38
67,2,自由,名詞,形容動詞語幹,*,*,自由,40
69,2,効果,名詞,一般,*,*,効果,38
70,2,的,名詞,接尾,形容動詞語幹,*,的,52
72,2,批評,名詞,サ変接続,*,*,批評,36
76,2,できる,動詞,自立,*,*,できる,31
78,3,技術,名詞,一般,*,*,技術,38
80,3,科学,名詞,一般,*,*,科学,38
82,3,疑問,名詞,形容動詞語幹,*,*,疑問,40
84,3,投げかけ,動詞,自立,*,*,投げかける,31
86,3,意図,名詞,サ変接続,*,*,意図,36
89,3,結果,名詞,副詞可能,*,*,結果,67
91,3,人間,名詞,一般,*,*,人間,38
93,3,制御,名詞,サ変接続,*,*,制御,36
95,3,外れる,動詞,自立,*,*,外れる,31
99,3,人間,名詞,一般,*,*,人間,38
101,3,生命,名詞,一般,*,*,生命,38
103,3,自然,名詞,形容動詞語幹,*,*,自然,40
105,3,脅威,名詞,一般,*,*,脅威,38
107,3,なる,動詞,自立,*,*,なる,31
108,3,可能,名詞,形容動詞語幹,*,*,可能,40
109,3,性,名詞,接尾,一般,*,性,51
111,3,ある,動詞,自立,*,*,ある,31
112,3,技術,名詞,一般,*,*,技術,38
114,3,自由,名詞,形容動詞語幹,*,*,自由,40
116,3,効果,名詞,一般,*,*,効果,38
117,3,的,名詞,接尾,形容動詞語幹,*,的,52
119,3,批評,名詞,サ変接続,*,*,批評,36
123,3,できる,動詞,自立,*,*,できる,31
0,0,技術,名詞,一般,*,*,技術,38
2,0,美術,名詞,一般,*,*,美術,38
6,0,関係,名詞,サ変接続,*,*,関係,36
8,0,概念,名詞,一般,*,*,概念,38
11,0,批判,名詞,サ変接続,*,*,批判,36
12,0,的,名詞,接尾,形容動詞語幹,*,的,52
15,0,深く,形容詞,自立,*,*,深い,10
16,0,考える,動詞,自立,*,*,考える,31
20,1,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
22,1,哲学,名詞,一般,*,*,哲学,38
25,1,概念,名詞,一般,*,*,概念,38
26,1,化,名詞,接尾,サ変接続,*,化,50
28,1,理解,名詞,サ変接続,*,*,理解,36
31,2,技術,名詞,一般,*,*,技術,38
33,2,科学,名詞,一般,*,*,科学,38
35,2,疑問,名詞,形容動詞語幹,*,*,疑問,40
37,2,投げかけ,動詞,自立,*,*,投げかける,31
39,2,意図,名詞,サ変接続,*,*,意図,36
42,2,結果,名詞,副詞可能,*,*,結果,67
44,2,人間,名詞,一般,*,*,人間,38
46,2,制御,名詞,サ変接続,*,*,制御,36
48,2,外れる,動詞,自立,*,*,外れる,31
52,2,人間,名詞,一般,*,*,人間,38
54,2,生命,名詞,一般,*,*,生命,38
56,2,自然,名詞,形容動詞語幹,*,*,自然,40
58,2,脅威,名詞,一般,*,*,脅威,38
60,2,なる,動詞,自立,*,*,なる,31
61,2,可能,名詞,形容動詞語幹,*,*,可能,40
62,2,性,名詞,接尾,一般,*,性,51
64,2,ある,動詞,自立,*,*,ある,31
65,2,技術,名詞,一般,*,*,技術,38
67,2,自由,名詞,形容動詞語幹,*,*,自由,40
69,2,効果,名詞,一般,*,*,効果,38
70,2,的,名詞,接尾,形容動詞語幹,*,的,52
72,2,批評,名詞,サ変接続,*,*,批評,36
76,2,できる,動詞,自立,*,*,できる,31
78,3,技術,名詞,一般,*,*,技術,38
80,3,科学,名詞,一般,*,*,科学,38
82,3,疑問,名詞,形容動詞語幹,*,*,疑問,40
84,3,投げかけ,動詞,自立,*,*,投げかける,31
86,3,意図,名詞,サ変接続,*,*,意図,36
89,3,結果,名詞,副詞可能,*,*,結果,67
91,3,人間,名詞,一般,*,*,人間,38
93,3,制御,名詞,サ変接続,*,*,制御,36
95,3,外れる,動詞,自立,*,*,外れる,31
99,3,人間,名詞,一般,*,*,人間,38
101,3,生命,名詞,一般,*,*,生命,38
103,3,自然,名詞,形容動詞語幹,*,*,自然,40
105,3,脅威,名詞,一般,*,*,脅威,38
107,3,なる,動詞,自立,*,*,なる,31
108,3,可能,名詞,形容動詞語幹,*,*,可能,40
109,3,性,名詞,接尾,一般,*,性,51
111,3,ある,動詞,自立,*,*,ある,31
112,3,技術,名詞,一般,*,*,技術,38
114,3,自由,名詞,形容動詞語幹,*,*,自由,40
116,3,効果,名詞,一般,*,*,効果,38
117,3,的,名詞,接尾,形容動詞語幹,*,的,52
119,3,批評,名詞,サ変接続,*,*,批評,36
123,3,できる,動詞,自立,*,*,できる,31
0,0,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
2,0,技術,名詞,一般,*,*,技術,38
4,0,美術,名詞,一般,*,*,美術,38
5,0,近代,名詞,一般,*,*,近代,38
6,0,的,名詞,接尾,形容動詞語幹,*,的,52
7,0,技術,名詞,一般,*,*,技術,38
8,0,Sublime,名詞,固有名詞,一般,*,Sublime,41
9,0,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
12,0,The,名詞,固有名詞,人名,一般,The The,42
14,0,Concern,名詞,固有名詞,一般,*,Concern,41
15,0,ing,名詞,固有名詞,一般,*,ING,41
22,0,The,名詞,固有名詞,人名,一般,The The,42
25,0,the,名詞,一般,*,*,the,38
32,0,ゴッホ,名詞,固有名詞,人名,姓,ゴッホ,43
37,0,科学技術,名詞,固有名詞,一般,*,科学技術,41
38,0,創造性,名詞,固有名詞,一般,*,創造性,41
39,0,邪悪,名詞,一般,*,*,邪悪,38
40,0,怪物,名詞,一般,*,*,怪物,38
41,0,知識,名詞,一般,*,*,知識,38
42,0,能力,名詞,一般,*,*,能力,38
43,0,不滅,名詞,形容動詞語幹,*,*,不滅,40
44,0,制御,名詞,サ変接続,*,*,制御,36
45,0,美徳,名詞,一般,*,*,美徳,38
46,0,名声,名詞,一般,*,*,名声,38
47,0,社会的責任,名詞,固有名詞,一般,*,社会的責任,41
48,0,恐れ,名詞,一般,*,*,恐れ,38
49,0,破壊,名詞,サ変接続,*,*,破壊,36
50,0,ファウスト,名詞,固有名詞,一般,*,Faust,41
51,0,的,名詞,接尾,形容動詞語幹,*,的,52
52,0,契約,名詞,サ変接続,*,*,契約,36
53,0,フランケンシュタイン,名詞,固有名詞,一般,*,フランケンシュタイン,41
55,0,怪物,名詞,一般,*,*,怪物,38
56,0,ジキル博士とハイド氏,名詞,固有名詞,一般,*,ジキル博士とハイド氏,41
57,0,ゴジラ,名詞,固有名詞,一般,*,ゴジラ,41
58,0,ジュラシック・パーク,名詞,固有名詞,一般,*,ジュラシック・パーク,41
59,0,科学技術,名詞,固有名詞,一般,*,科学技術,41
60,0,創造性,名詞,固有名詞,一般,*,創造性,41
61,0,邪悪,名詞,一般,*,*,邪悪,38
62,0,怪物,名詞,一般,*,*,怪物,38
63,0,知識,名詞,一般,*,*,知識,38
64,0,能力,名詞,一般,*,*,能力,38
65,0,不滅,名詞,形容動詞語幹,*,*,不滅,40
66,0,制御,名詞,サ変接続,*,*,制御,36
67,0,美徳,名詞,一般,*,*,美徳,38
68,0,名声,名詞,一般,*,*,名声,38
69,0,社会的責任,名詞,固有名詞,一般,*,社会的責任,41
70,0,恐れ,名詞,一般,*,*,恐れ,38
71,0,破壊,名詞,サ変接続,*,*,破壊,36
72,0,ファウスト,名詞,固有名詞,一般,*,Faust,41
73,0,的,名詞,接尾,形容動詞語幹,*,的,52
74,0,契約,名詞,サ変接続,*,*,契約,36
75,0,フランケンシュタイン,名詞,固有名詞,一般,*,フランケンシュタイン,41
77,0,怪物,名詞,一般,*,*,怪物,38
78,0,ジキル博士とハイド氏,名詞,固有名詞,一般,*,ジキル博士とハイド氏,41
79,0,ゴジラ,名詞,固有名詞,一般,*,ゴジラ,41
80,0,ジュラシック・パーク,名詞,固有名詞,一般,*,ジュラシック・パーク,41
0,0,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
2,0,技術,名詞,一般,*,*,技術,38
4,0,美術,名詞,一般,*,*,美術,38
5,0,近代,名詞,一般,*,*,近代,38
6,0,的,名詞,接尾,形容動詞語幹,*,的,52
7,0,技術,名詞,一般,*,*,技術,38
8,0,Sublime,名詞,固有名詞,一般,*,Sublime,41
9,0,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
12,0,The,名詞,固有名詞,人名,一般,The The,42
14,0,Concern,名詞,固有名詞,一般,*,Concern,41
15,0,ing,名詞,固有名詞,一般,*,ING,41
22,0,The,名詞,固有名詞,人名,一般,The The,42
25,0,the,名詞,一般,*,*,the,38
32,0,ゴッホ,名詞,固有名詞,人名,姓,ゴッホ,43
37,0,科学技術,名詞,固有名詞,一般,*,科学技術,41
38,0,創造性,名詞,固有名詞,一般,*,創造性,41
39,0,邪悪,名詞,一般,*,*,邪悪,38
40,0,怪物,名詞,一般,*,*,怪物,38
41,0,知識,名詞,一般,*,*,知識,38
42,0,能力,名詞,一般,*,*,能力,38
43,0,不滅,名詞,形容動詞語幹,*,*,不滅,40
44,0,制御,名詞,サ変接続,*,*,制御,36
45,0,美徳,名詞,一般,*,*,美徳,38
46,0,名声,名詞,一般,*,*,名声,38
47,0,社会的責任,名詞,固有名詞,一般,*,社会的責任,41
48,0,恐れ,名詞,一般,*,*,恐れ,38
49,0,破壊,名詞,サ変接続,*,*,破壊,36
50,0,ファウスト,名詞,固有名詞,一般,*,Faust,41
51,0,的,名詞,接尾,形容動詞語幹,*,的,52
52,0,契約,名詞,サ変接続,*,*,契約,36
53,0,フランケンシュタイン,名詞,固有名詞,一般,*,フランケンシュタイン,41
55,0,怪物,名詞,一般,*,*,怪物,38
56,0,ジキル博士とハイド氏,名詞,固有名詞,一般,*,ジキル博士とハイド氏,41
57,0,ゴジラ,名詞,固有名詞,一般,*,ゴジラ,41
58,0,ジュラシック・パーク,名詞,固有名詞,一般,*,ジュラシック・パーク,41
59,0,科学技術,名詞,固有名詞,一般,*,科学技術,41
60,0,創造性,名詞,固有名詞,一般,*,創造性,41
61,0,邪悪,名詞,一般,*,*,邪悪,38
62,0,怪物,名詞,一般,*,*,怪物,38
63,0,知識,名詞,一般,*,*,知識,38
64,0,能力,名詞,一般,*,*,能力,38
65,0,不滅,名詞,形容動詞語幹,*,*,不滅,40
66,0,制御,名詞,サ変接続,*,*,制御,36
67,0,美徳,名詞,一般,*,*,美徳,38
68,0,名声,名詞,一般,*,*,名声,38
69,0,社会的責任,名詞,固有名詞,一般,*,社会的責任,41
70,0,恐れ,名詞,一般,*,*,恐れ,38
71,0,破壊,名詞,サ変接続,*,*,破壊,36
72,0,ファウスト,名詞,固有名詞,一般,*,Faust,41
73,0,的,名詞,接尾,形容動詞語幹,*,的,52
74,0,契約,名詞,サ変接続,*,*,契約,36
75,0,フランケンシュタイン,名詞,固有名詞,一般,*,フランケンシュタイン,41
77,0,怪物,名詞,一般,*,*,怪物,38
78,0,ジキル博士とハイド氏,名詞,固有名詞,一般,*,ジキル博士とハイド氏,41
79,0,ゴジラ,名詞,固有名詞,一般,*,ゴジラ,41
80,0,ジュラシック・パーク,名詞,固有名詞,一般,*,ジュラシック・パーク,41
0,0,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
2,0,技術,名詞,一般,*,*,技術,38
4,0,美術,名詞,一般,*,*,美術,38
5,0,近代,名詞,一般,*,*,近代,38
6,0,的,名詞,接尾,形容動詞語幹,*,的,52
7,0,技術,名詞,一般,*,*,技術,38
8,0,Sublime,名詞,固有名詞,一般,*,Sublime,41
9,0,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
12,0,The,名詞,固有名詞,人名,一般,The The,42
14,0,Concern,名詞,固有名詞,一般,*,Concern,41
15,0,ing,名詞,固有名詞,一般,*,ING,41
22,0,The,名詞,固有名詞,人名,一般,The The,42
25,0,the,名詞,一般,*,*,the,38
32,0,ゴッホ,名詞,固有名詞,人名,姓,ゴッホ,43
37,0,科学技術,名詞,固有名詞,一般,*,科学技術,41
38,0,創造性,名詞,固有名詞,一般,*,創造性,41
39,0,邪悪,名詞,一般,*,*,邪悪,38
40,0,怪物,名詞,一般,*,*,怪物,38
41,0,知識,名詞,一般,*,*,知識,38
42,0,能力,名詞,一般,*,*,能力,38
43,0,不滅,名詞,形容動詞語幹,*,*,不滅,40
44,0,制御,名詞,サ変接続,*,*,制御,36
45,0,美徳,名詞,一般,*,*,美徳,38
46,0,名声,名詞,一般,*,*,名声,38
47,0,社会的責任,名詞,固有名詞,一般,*,社会的責任,41
48,0,恐れ,名詞,一般,*,*,恐れ,38
49,0,破壊,名詞,サ変接続,*,*,破壊,36
50,0,ファウスト,名詞,固有名詞,一般,*,Faust,41
51,0,的,名詞,接尾,形容動詞語幹,*,的,52
52,0,契約,名詞,サ変接続,*,*,契約,36
53,0,フランケンシュタイン,名詞,固有名詞,一般,*,フランケンシュタイン,41
55,0,怪物,名詞,一般,*,*,怪物,38
56,0,ジキル博士とハイド氏,名詞,固有名詞,一般,*,ジキル博士とハイド氏,41
57,0,ゴジラ,名詞,固有名詞,一般,*,ゴジラ,41
58,0,ジュラシック・パーク,名詞,固有名詞,一般,*,ジュラシック・パーク,41
59,0,科学技術,名詞,固有名詞,一般,*,科学技術,41
60,0,創造性,名詞,固有名詞,一般,*,創造性,41
61,0,邪悪,名詞,一般,*,*,邪悪,38
62,0,怪物,名詞,一般,*,*,怪物,38
63,0,知識,名詞,一般,*,*,知識,38
64,0,能力,名詞,一般,*,*,能力,38
65,0,不滅,名詞,形容動詞語幹,*,*,不滅,40
66,0,制御,名詞,サ変接続,*,*,制御,36
67,0,美徳,名詞,一般,*,*,美徳,38
68,0,名声,名詞,一般,*,*,名声,38
69,0,社会的責任,名詞,固有名詞,一般,*,社会的責任,41
70,0,恐れ,名詞,一般,*,*,恐れ,38
71,0,破壊,名詞,サ変接続,*,*,破壊,36
72,0,ファウスト,名詞,固有名詞,一般,*,Faust,41
73,0,的,名詞,接尾,形容動詞語幹,*,的,52
74,0,契約,名詞,サ変接続,*,*,契約,36
75,0,フランケンシュタイン,名詞,固有名詞,一般,*,フランケンシュタイン,41
77,0,怪物,名詞,一般,*,*,怪物,38
78,0,ジキル博士とハイド氏,名詞,固有名詞,一般,*,ジキル博士とハイド氏,41
79,0,ゴジラ,名詞,固有名詞,一般,*,ゴジラ,41
80,0,ジュラシック・パーク,名詞,固有名詞,一般,*,ジュラシック・パーク,41
0,0,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
2,0,技術,名詞,一般,*,*,技術,38
4,0,美術,名詞,一般,*,*,美術,38
5,0,近代,名詞,一般,*,*,近代,38
6,0,的,名詞,接尾,形容動詞語幹,*,的,52
7,0,技術,名詞,一般,*,*,技術,38
8,0,Sublime,名詞,固有名詞,一般,*,Sublime,41
9,0,ハイデッカー,名詞,固有名詞,一般,*,ハイデッカー,41
12,0,The,名詞,固有名詞,人名,一般,The The,42
14,0,Concern,名詞,固有名詞,一般,*,Concern,41
15,0,ing,名詞,固有名詞,一般,*,ING,41
22,0,The,名詞,固有名詞,人名,一般,The The,42
25,0,the,名詞,一般,*,*,the,38
32,0,ゴッホ,名詞,固有名詞,人名,姓,ゴッホ,43
37,0,科学技術,名詞,固有名詞,一般,*,科学技術,41
38,0,創造性,名詞,固有名詞,一般,*,創造性,41
39,0,邪悪,名詞,一般,*,*,邪悪,38
40,0,怪物,名詞,一般,*,*,怪物,38
41,0,知識,名詞,一般,*,*,知識,38
42,0,能力,名詞,一般,*,*,能力,38
43,0,不滅,名詞,形容動詞語幹,*,*,不滅,40
44,0,制御,名詞,サ変接続,*,*,制御,36
45,0,美徳,名詞,一般,*,*,美徳,38
46,0,名声,名詞,一般,*,*,名声,38
47,0,社会的責任,名詞,固有名詞,一般,*,社会的責任,41
48,0,恐れ,名詞,一般,*,*,恐れ,38
49,0,破壊,名詞,サ変接続,*,*,破壊,36
50,0,ファウスト,名詞,固有名詞,一般,*,Faust,41
51,0,的,名詞,接尾,形容動詞語幹,*,的,52
52,0,契約,名詞,サ変接続,*,*,契約,36
53,0,フランケンシュタイン,名詞,固有名詞,一般,*,フランケンシュタイン,41
55,0,怪物,名詞,一般,*,*,怪物,38
56,0,ジキル博士とハイド氏,名詞,固有名詞,一般,*,ジキル博士とハイド氏,41
57,0,ゴジラ,名詞,固有名詞,一般,*,ゴジラ,41
58,0,ジュラシック・パーク,名詞,固有名詞,一般,*,ジュラシック・パーク,41
59,0,科学技術,名詞,固有名詞,一般,*,科学技術,41
60,0,創造性,名詞,固有名詞,一般,*,創造性,41
61,0,邪悪,名詞,一般,*,*,邪悪,38
62,0,怪物,名詞,一般,*,*,怪物,38
63,0,知識,名詞,一般,*,*,知識,38
64,0,能力,名詞,一般,*,*,能力,38
65,0,不滅,名詞,形容動詞語幹,*,*,不滅,40
66,0,制御,名詞,サ変接続,*,*,制御,36
67,0,美徳,名詞,一般,*,*,美徳,38
68,0,名声,名詞,一般,*,*,名声,38
69,0,社会的責任,名詞,固有名詞,一般,*,社会的責任,41
70,0,恐れ,名詞,一般,*,*,恐れ,38
71,0,破壊,名詞,サ変接続,*,*,破壊,36
72,0,ファウスト,名詞,固有名詞,一般,*,Faust,41
73,0,的,名詞,接尾,形容動詞語幹,*,的,52
74,0,契約,名詞,サ変接続,*,*,契約,36
