Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
70,0,分離,名詞,サ変接続,*,*,分離,36
71,0,構造,名詞,一般,*,*,構造,38
72,0,網,名詞,接尾,一般,*,網,51
73,0,目,名詞,接尾,一般,*,目,51
74,0,構造,名詞,一般,*,*,構造,38
75,0,表面,名詞,一般,*,*,表面,38
77,0,界面,名詞,一般,*,*,界面,38
78,0,構造,名詞,一般,*,*,構造,38
80,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
82,0,構造,名詞,一般,*,*,構造,38
84,0,構造,名詞,一般,*,*,構造,38
85,0,異性,名詞,一般,*,*,異性,38
86,0,立体,名詞,一般,*,*,立体,38
87,0,異性,名詞,一般,*,*,異性,38
88,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
90,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
93,0,回転,名詞,サ変接続,*,*,回転,36
94,0,異性体,名詞,固有名詞,一般,*,異性体,41
95,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
96,0,構造,名詞,一般,*,*,構造,38
98,0,高次,名詞,一般,*,*,高次,38
99,0,構造,名詞,一般,*,*,構造,38
101,0,結晶,名詞,サ変接続,*,*,結晶,36
102,0,液晶,名詞,一般,*,*,液晶,38
104,0,晶,名詞,固有名詞,人名,名,晶,44
105,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
106,0,球,名詞,接尾,一般,*,球,51
107,0,晶,名詞,固有名詞,人名,名,晶,44
108,0,ミクロ,名詞,一般,*,*,ミクロ,38
109,0,相,名詞,接尾,一般,*,相,51
110,0,分離,名詞,サ変接続,*,*,分離,36
111,0,構造,名詞,一般,*,*,構造,38
112,0,網,名詞,接尾,一般,*,網,51
113,0,目,名詞,接尾,一般,*,目,51
114,0,構造,名詞,一般,*,*,構造,38
115,0,表面,名詞,一般,*,*,表面,38
117,0,界面,名詞,一般,*,*,界面,38
118,0,構造,名詞,一般,*,*,構造,38
120,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
122,0,構造,名詞,一般,*,*,構造,38
124,0,構造,名詞,一般,*,*,構造,38
125,0,異性,名詞,一般,*,*,異性,38
126,0,立体,名詞,一般,*,*,立体,38
127,0,異性,名詞,一般,*,*,異性,38
128,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
130,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
133,0,回転,名詞,サ変接続,*,*,回転,36
134,0,異性体,名詞,固有名詞,一般,*,異性体,41
135,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
136,0,構造,名詞,一般,*,*,構造,38
138,0,高次,名詞,一般,*,*,高次,38
139,0,構造,名詞,一般,*,*,構造,38
141,0,結晶,名詞,サ変接続,*,*,結晶,36
142,0,液晶,名詞,一般,*,*,液晶,38
144,0,晶,名詞,固有名詞,人名,名,晶,44
145,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
146,0,球,名詞,接尾,一般,*,球,51
147,0,晶,名詞,固有名詞,人名,名,晶,44
148,0,ミクロ,名詞,一般,*,*,ミクロ,38
149,0,相,名詞,接尾,一般,*,相,51
150,0,分離,名詞,サ変接続,*,*,分離,36
151,0,構造,名詞,一般,*,*,構造,38
152,0,網,名詞,接尾,一般,*,網,51
153,0,目,名詞,接尾,一般,*,目,51
154,0,構造,名詞,一般,*,*,構造,38
155,0,表面,名詞,一般,*,*,表面,38
157,0,界面,名詞,一般,*,*,界面,38
158,0,構造,名詞,一般,*,*,構造,38
160,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
162,0,構造,名詞,一般,*,*,構造,38
164,0,構造,名詞,一般,*,*,構造,38
165,0,異性,名詞,一般,*,*,異性,38
166,0,立体,名詞,一般,*,*,立体,38
167,0,異性,名詞,一般,*,*,異性,38
168,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
170,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
173,0,回転,名詞,サ変接続,*,*,回転,36
174,0,異性体,名詞,固有名詞,一般,*,異性体,41
175,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
176,0,構造,名詞,一般,*,*,構造,38
178,0,高次,名詞,一般,*,*,高次,38
179,0,構造,名詞,一般,*,*,構造,38
181,0,結晶,名詞,サ変接続,*,*,結晶,36
182,0,液晶,名詞,一般,*,*,液晶,38
184,0,晶,名詞,固有名詞,人名,名,晶,44
185,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
186,0,球,名詞,接尾,一般,*,球,51
187,0,晶,名詞,固有名詞,人名,名,晶,44
188,0,ミクロ,名詞,一般,*,*,ミクロ,38
189,0,相,名詞,接尾,一般,*,相,51
190,0,分離,名詞,サ変接続,*,*,分離,36
191,0,構造,名詞,一般,*,*,構造,38
192,0,網,名詞,接尾,一般,*,網,51
193,0,目,名詞,接尾,一般,*,目,51
194,0,構造,名詞,一般,*,*,構造,38
195,0,表面,名詞,一般,*,*,表面,38
197,0,界面,名詞,一般,*,*,界面,38
198,0,構造,名詞,一般,*,*,構造,38
0,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
2,0,構造,名詞,一般,*,*,構造,38
4,0,構造,名詞,一般,*,*,構造,38
5,0,異性,名詞,一般,*,*,異性,38
6,0,立体,名詞,一般,*,*,立体,38
7,0,異性,名詞,一般,*,*,異性,38
8,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
10,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
13,0,回転,名詞,サ変接続,*,*,回転,36
14,0,異性体,名詞,固有名詞,一般,*,異性体,41
15,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
16,0,構造,名詞,一般,*,*,構造,38
18,0,高次,名詞,一般,*,*,高次,38
19,0,構造,名詞,一般,*,*,構造,38
21,0,結晶,名詞,サ変接続,*,*,結晶,36
22,0,液晶,名詞,一般,*,*,液晶,38
24,0,晶,名詞,固有名詞,人名,名,晶,44
25,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
26,0,球,名詞,接尾,一般,*,球,51
27,0,晶,名詞,固有名詞,人名,名,晶,44
28,0,ミクロ,名詞,一般,*,*,ミクロ,38
29,0,相,名詞,接尾,一般,*,相,51
30,0,分離,名詞,サ変接続,*,*,分離,36
31,0,構造,名詞,一般,*,*,構造,38
32,0,網,名詞,接尾,一般,*,網,51
33,0,目,名詞,接尾,一般,*,目,51
34,0,構造,名詞,一般,*,*,構造,38
35,0,表面,名詞,一般,*,*,表面,38
37,0,界面,名詞,一般,*,*,界面,38
38,0,構造,名詞,一般,*,*,構造,38
40,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
42,0,構造,名詞,一般,*,*,構造,38
44,0,構造,名詞,一般,*,*,構造,38
45,0,異性,名詞,一般,*,*,異性,38
46,0,立体,名詞,一般,*,*,立体,38
47,0,異性,名詞,一般,*,*,異性,38
48,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
50,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
53,0,回転,名詞,サ変接続,*,*,回転,36
54,0,異性体,名詞,固有名詞,一般,*,異性体,41
55,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
56,0,構造,名詞,一般,*,*,構造,38
58,0,高次,名詞,一般,*,*,高次,38
59,0,構造,名詞,一般,*,*,構造,38
61,0,結晶,名詞,サ変接続,*,*,結晶,36
62,0,液晶,名詞,一般,*,*,液晶,38
64,0,晶,名詞,固有名詞,人名,名,晶,44
65,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
66,0,球,名詞,接尾,一般,*,球,51
67,0,晶,名詞,固有名詞,人名,名,晶,44
68,0,ミクロ,名詞,一般,*,*,ミクロ,38
69,0,相,名詞,接尾,一般,*,相,51
70,0,分離,名詞,サ変接続,*,*,分離,36
71,0,構造,名詞,一般,*,*,構造,38
72,0,網,名詞,接尾,一般,*,網,51
73,0,目,名詞,接尾,一般,*,目,51
74,0,構造,名詞,一般,*,*,構造,38
75,0,表面,名詞,一般,*,*,表面,38
77,0,界面,名詞,一般,*,*,界面,38
78,0,構造,名詞,一般,*,*,構造,38
80,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
82,0,構造,名詞,一般,*,*,構造,38
84,0,構造,名詞,一般,*,*,構造,38
85,0,異性,名詞,一般,*,*,異性,38
86,0,立体,名詞,一般,*,*,立体,38
87,0,異性,名詞,一般,*,*,異性,38
88,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
90,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
93,0,回転,名詞,サ変接続,*,*,回転,36
94,0,異性体,名詞,固有名詞,一般,*,異性体,41
95,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
96,0,構造,名詞,一般,*,*,構造,38
98,0,高次,名詞,一般,*,*,高次,38
99,0,構造,名詞,一般,*,*,構造,38
101,0,結晶,名詞,サ変接続,*,*,結晶,36
102,0,液晶,名詞,一般,*,*,液晶,38
104,0,晶,名詞,固有名詞,人名,名,晶,44
105,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
106,0,球,名詞,接尾,一般,*,球,51
107,0,晶,名詞,固有名詞,人名,名,晶,44
108,0,ミクロ,名詞,一般,*,*,ミクロ,38
109,0,相,名詞,接尾,一般,*,相,51
110,0,分離,名詞,サ変接続,*,*,分離,36
111,0,構造,名詞,一般,*,*,構造,38
112,0,網,名詞,接尾,一般,*,網,51
113,0,目,名詞,接尾,一般,*,目,51
114,0,構造,名詞,一般,*,*,構造,38
115,0,表面,名詞,一般,*,*,表面,38
117,0,界面,名詞,一般,*,*,界面,38
118,0,構造,名詞,一般,*,*,構造,38
120,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
122,0,構造,名詞,一般,*,*,構造,38
124,0,構造,名詞,一般,*,*,構造,38
125,0,異性,名詞,一般,*,*,異性,38
126,0,立体,名詞,一般,*,*,立体,38
127,0,異性,名詞,一般,*,*,異性,38
128,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
130,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
133,0,回転,名詞,サ変接続,*,*,回転,36
134,0,異性体,名詞,固有名詞,一般,*,異性体,41
135,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
136,0,構造,名詞,一般,*,*,構造,38
138,0,高次,名詞,一般,*,*,高次,38
139,0,構造,名詞,一般,*,*,構造,38
141,0,結晶,名詞,サ変接続,*,*,結晶,36
142,0,液晶,名詞,一般,*,*,液晶,38
144,0,晶,名詞,固有名詞,人名,名,晶,44
145,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
146,0,球,名詞,接尾,一般,*,球,51
147,0,晶,名詞,固有名詞,人名,名,晶,44
148,0,ミクロ,名詞,一般,*,*,ミクロ,38
149,0,相,名詞,接尾,一般,*,相,51
150,0,分離,名詞,サ変接続,*,*,分離,36
151,0,構造,名詞,一般,*,*,構造,38
152,0,網,名詞,接尾,一般,*,網,51
153,0,目,名詞,接尾,一般,*,目,51
154,0,構造,名詞,一般,*,*,構造,38
155,0,表面,名詞,一般,*,*,表面,38
157,0,界面,名詞,一般,*,*,界面,38
158,0,構造,名詞,一般,*,*,構造,38
160,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
162,0,構造,名詞,一般,*,*,構造,38
164,0,構造,名詞,一般,*,*,構造,38
165,0,異性,名詞,一般,*,*,異性,38
166,0,立体,名詞,一般,*,*,立体,38
167,0,異性,名詞,一般,*,*,異性,38
168,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
170,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
173,0,回転,名詞,サ変接続,*,*,回転,36
174,0,異性体,名詞,固有名詞,一般,*,異性体,41
175,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
176,0,構造,名詞,一般,*,*,構造,38
178,0,高次,名詞,一般,*,*,高次,38
179,0,構造,名詞,一般,*,*,構造,38
181,0,結晶,名詞,サ変接続,*,*,結晶,36
182,0,液晶,名詞,一般,*,*,液晶,38
184,0,晶,名詞,固有名詞,人名,名,晶,44
185,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
186,0,球,名詞,接尾,一般,*,球,51
187,0,晶,名詞,固有名詞,人名,名,晶,44
188,0,ミクロ,名詞,一般,*,*,ミクロ,38
189,0,相,名詞,接尾,一般,*,相,51
190,0,分離,名詞,サ変接続,*,*,分離,36
191,0,構造,名詞,一般,*,*,構造,38
192,0,網,名詞,接尾,一般,*,網,51
193,0,目,名詞,接尾,一般,*,目,51
194,0,構造,名詞,一般,*,*,構造,38
195,0,表面,名詞,一般,*,*,表面,38
197,0,界面,名詞,一般,*,*,界面,38
198,0,構造,名詞,一般,*,*,構造,38
0,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
2,0,構造,名詞,一般,*,*,構造,38
4,0,構造,名詞,一般,*,*,構造,38
5,0,異性,名詞,一般,*,*,異性,38
6,0,立体,名詞,一般,*,*,立体,38
7,0,異性,名詞,一般,*,*,異性,38
8,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
10,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
13,0,回転,名詞,サ変接続,*,*,回転,36
14,0,異性体,名詞,固有名詞,一般,*,異性体,41
15,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
16,0,構造,名詞,一般,*,*,構造,38
18,0,高次,名詞,一般,*,*,高次,38
19,0,構造,名詞,一般,*,*,構造,38
21,0,結晶,名詞,サ変接続,*,*,結晶,36
22,0,液晶,名詞,一般,*,*,液晶,38
24,0,晶,名詞,固有名詞,人名,名,晶,44
25,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
26,0,球,名詞,接尾,一般,*,球,51
27,0,晶,名詞,固有名詞,人名,名,晶,44
28,0,ミクロ,名詞,一般,*,*,ミクロ,38
29,0,相,名詞,接尾,一般,*,相,51
30,0,分離,名詞,サ変接続,*,*,分離,36
31,0,構造,名詞,一般,*,*,構造,38
32,0,網,名詞,接尾,一般,*,網,51
33,0,目,名詞,接尾,一般,*,目,51
34,0,構造,名詞,一般,*,*,構造,38
35,0,表面,名詞,一般,*,*,表面,38
37,0,界面,名詞,一般,*,*,界面,38
38,0,構造,名詞,一般,*,*,構造,38
40,0,モノマー,名詞,固有名詞,一般,*,モノマー,41
42,0,構造,名詞,一般,*,*,構造,38
44,0,構造,名詞,一般,*,*,構造,38
45,0,異性,名詞,一般,*,*,異性,38
46,0,立体,名詞,一般,*,*,立体,38
47,0,異性,名詞,一般,*,*,異性,38
48,0,コンフィグレーション,名詞,固有名詞,一般,*,コンフィグレーション,41
50,0,二次構造,名詞,固有名詞,一般,*,二次構造,41
53,0,回転,名詞,サ変接続,*,*,回転,36
54,0,異性体,名詞,固有名詞,一般,*,異性体,41
55,0,ヘリックス,名詞,固有名詞,一般,*,ヘリックス,41
56,0,構造,名詞,一般,*,*,構造,38
58,0,高次,名詞,一般,*,*,高次,38
59,0,構造,名詞,一般,*,*,構造,38
61,0,結晶,名詞,サ変接続,*,*,結晶,36
62,0,液晶,名詞,一般,*,*,液晶,38
64,0,晶,名詞,固有名詞,人名,名,晶,44
65,0,単結晶,名詞,固有名詞,一般,*,単結晶,41
66,0,球,名詞,接尾,一般,*,球,51
