Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
66,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
67,0,精度,名詞,一般,*,*,精度,38
68,0,校正,名詞,サ変接続,*,*,校正,36
69,0,基本,名詞,一般,*,*,基本,38
70,0,量,名詞,接尾,一般,*,量,51
72,0,測定,名詞,サ変接続,*,*,測定,36
73,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
74,0,量,名詞,接尾,一般,*,量,51
76,0,測定,名詞,サ変接続,*,*,測定,36
77,0,力学,名詞,一般,*,*,力学,38
78,0,量,名詞,接尾,一般,*,量,51
80,0,測定,名詞,サ変接続,*,*,測定,36
81,0,ディジタル,名詞,一般,*,*,ディジタル,38
82,0,化,名詞,接尾,サ変接続,*,化,50
83,0,フィルタ,名詞,一般,*,*,フィルタ,38
84,0,電気,名詞,一般,*,*,電気,38
86,0,電子,名詞,一般,*,*,電子,38
87,0,計測,名詞,サ変接続,*,*,計測,36
88,0,光,名詞,接尾,一般,*,光,51
89,0,計測,名詞,サ変接続,*,*,計測,36
90,0,知識,名詞,一般,*,*,知識,38
91,0,応用,名詞,サ変接続,*,*,応用,36
92,0,計測,名詞,サ変接続,*,*,計測,36
0,0,尺度,名詞,一般,*,*,尺度,38
1,0,トレーサビリティ,名詞,固有名詞,一般,*,トレーサビリティ,41
2,0,測定,名詞,サ変接続,*,*,測定,36
3,0,方式,名詞,一般,*,*,方式,38
4,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
5,0,精度,名詞,一般,*,*,精度,38
6,0,校正,名詞,サ変接続,*,*,校正,36
7,0,基本,名詞,一般,*,*,基本,38
8,0,量,名詞,接尾,一般,*,量,51
10,0,測定,名詞,サ変接続,*,*,測定,36
11,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
12,0,量,名詞,接尾,一般,*,量,51
14,0,測定,名詞,サ変接続,*,*,測定,36
15,0,力学,名詞,一般,*,*,力学,38
16,0,量,名詞,接尾,一般,*,量,51
18,0,測定,名詞,サ変接続,*,*,測定,36
19,0,ディジタル,名詞,一般,*,*,ディジタル,38
20,0,化,名詞,接尾,サ変接続,*,化,50
21,0,フィルタ,名詞,一般,*,*,フィルタ,38
22,0,電気,名詞,一般,*,*,電気,38
24,0,電子,名詞,一般,*,*,電子,38
25,0,計測,名詞,サ変接続,*,*,計測,36
26,0,光,名詞,接尾,一般,*,光,51
27,0,計測,名詞,サ変接続,*,*,計測,36
28,0,知識,名詞,一般,*,*,知識,38
29,0,応用,名詞,サ変接続,*,*,応用,36
30,0,計測,名詞,サ変接続,*,*,計測,36
31,0,尺度,名詞,一般,*,*,尺度,38
32,0,トレーサビリティ,名詞,固有名詞,一般,*,トレーサビリティ,41
33,0,測定,名詞,サ変接続,*,*,測定,36
34,0,方式,名詞,一般,*,*,方式,38
35,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
36,0,精度,名詞,一般,*,*,精度,38
37,0,校正,名詞,サ変接続,*,*,校正,36
38,0,基本,名詞,一般,*,*,基本,38
39,0,量,名詞,接尾,一般,*,量,51
41,0,測定,名詞,サ変接続,*,*,測定,36
42,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
43,0,量,名詞,接尾,一般,*,量,51
45,0,測定,名詞,サ変接続,*,*,測定,36
46,0,力学,名詞,一般,*,*,力学,38
47,0,量,名詞,接尾,一般,*,量,51
49,0,測定,名詞,サ変接続,*,*,測定,36
50,0,ディジタル,名詞,一般,*,*,ディジタル,38
51,0,化,名詞,接尾,サ変接続,*,化,50
52,0,フィルタ,名詞,一般,*,*,フィルタ,38
53,0,電気,名詞,一般,*,*,電気,38
55,0,電子,名詞,一般,*,*,電子,38
56,0,計測,名詞,サ変接続,*,*,計測,36
57,0,光,名詞,接尾,一般,*,光,51
58,0,計測,名詞,サ変接続,*,*,計測,36
59,0,知識,名詞,一般,*,*,知識,38
60,0,応用,名詞,サ変接続,*,*,応用,36
61,0,計測,名詞,サ変接続,*,*,計測,36
62,0,尺度,名詞,一般,*,*,尺度,38
63,0,トレーサビリティ,名詞,固有名詞,一般,*,トレーサビリティ,41
64,0,測定,名詞,サ変接続,*,*,測定,36
65,0,方式,名詞,一般,*,*,方式,38
66,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
67,0,精度,名詞,一般,*,*,精度,38
68,0,校正,名詞,サ変接続,*,*,校正,36
69,0,基本,名詞,一般,*,*,基本,38
70,0,量,名詞,接尾,一般,*,量,51
72,0,測定,名詞,サ変接続,*,*,測定,36
73,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
74,0,量,名詞,接尾,一般,*,量,51
76,0,測定,名詞,サ変接続,*,*,測定,36
77,0,力学,名詞,一般,*,*,力学,38
78,0,量,名詞,接尾,一般,*,量,51
80,0,測定,名詞,サ変接続,*,*,測定,36
81,0,ディジタル,名詞,一般,*,*,ディジタル,38
82,0,化,名詞,接尾,サ変接続,*,化,50
83,0,フィルタ,名詞,一般,*,*,フィルタ,38
84,0,電気,名詞,一般,*,*,電気,38
86,0,電子,名詞,一般,*,*,電子,38
87,0,計測,名詞,サ変接続,*,*,計測,36
88,0,光,名詞,接尾,一般,*,光,51
89,0,計測,名詞,サ変接続,*,*,計測,36
90,0,知識,名詞,一般,*,*,知識,38
91,0,応用,名詞,サ変接続,*,*,応用,36
92,0,計測,名詞,サ変接続,*,*,計測,36
0,0,尺度,名詞,一般,*,*,尺度,38
1,0,トレーサビリティ,名詞,固有名詞,一般,*,トレーサビリティ,41
2,0,測定,名詞,サ変接続,*,*,測定,36
3,0,方式,名詞,一般,*,*,方式,38
4,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
5,0,精度,名詞,一般,*,*,精度,38
6,0,校正,名詞,サ変接続,*,*,校正,36
7,0,基本,名詞,一般,*,*,基本,38
8,0,量,名詞,接尾,一般,*,量,51
10,0,測定,名詞,サ変接続,*,*,測定,36
11,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
12,0,量,名詞,接尾,一般,*,量,51
14,0,測定,名詞,サ変接続,*,*,測定,36
15,0,力学,名詞,一般,*,*,力学,38
16,0,量,名詞,接尾,一般,*,量,51
18,0,測定,名詞,サ変接続,*,*,測定,36
19,0,ディジタル,名詞,一般,*,*,ディジタル,38
20,0,化,名詞,接尾,サ変接続,*,化,50
21,0,フィルタ,名詞,一般,*,*,フィルタ,38
22,0,電気,名詞,一般,*,*,電気,38
24,0,電子,名詞,一般,*,*,電子,38
25,0,計測,名詞,サ変接続,*,*,計測,36
26,0,光,名詞,接尾,一般,*,光,51
27,0,計測,名詞,サ変接続,*,*,計測,36
28,0,知識,名詞,一般,*,*,知識,38
29,0,応用,名詞,サ変接続,*,*,応用,36
30,0,計測,名詞,サ変接続,*,*,計測,36
31,0,尺度,名詞,一般,*,*,尺度,38
32,0,トレーサビリティ,名詞,固有名詞,一般,*,トレーサビリティ,41
33,0,測定,名詞,サ変接続,*,*,測定,36
34,0,方式,名詞,一般,*,*,方式,38
35,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
36,0,精度,名詞,一般,*,*,精度,38
37,0,校正,名詞,サ変接続,*,*,校正,36
38,0,基本,名詞,一般,*,*,基本,38
39,0,量,名詞,接尾,一般,*,量,51
41,0,測定,名詞,サ変接続,*,*,測定,36
42,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
43,0,量,名詞,接尾,一般,*,量,51
45,0,測定,名詞,サ変接続,*,*,測定,36
46,0,力学,名詞,一般,*,*,力学,38
47,0,量,名詞,接尾,一般,*,量,51
49,0,測定,名詞,サ変接続,*,*,測定,36
50,0,ディジタル,名詞,一般,*,*,ディジタル,38
51,0,化,名詞,接尾,サ変接続,*,化,50
52,0,フィルタ,名詞,一般,*,*,フィルタ,38
53,0,電気,名詞,一般,*,*,電気,38
55,0,電子,名詞,一般,*,*,電子,38
56,0,計測,名詞,サ変接続,*,*,計測,36
57,0,光,名詞,接尾,一般,*,光,51
58,0,計測,名詞,サ変接続,*,*,計測,36
59,0,知識,名詞,一般,*,*,知識,38
60,0,応用,名詞,サ変接続,*,*,応用,36
61,0,計測,名詞,サ変接続,*,*,計測,36
62,0,尺度,名詞,一般,*,*,尺度,38
63,0,トレーサビリティ,名詞,固有名詞,一般,*,トレーサビリティ,41
64,0,測定,名詞,サ変接続,*,*,測定,36
65,0,方式,名詞,一般,*,*,方式,38
66,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
67,0,精度,名詞,一般,*,*,精度,38
68,0,校正,名詞,サ変接続,*,*,校正,36
69,0,基本,名詞,一般,*,*,基本,38
70,0,量,名詞,接尾,一般,*,量,51
72,0,測定,名詞,サ変接続,*,*,測定,36
73,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
74,0,量,名詞,接尾,一般,*,量,51
76,0,測定,名詞,サ変接続,*,*,測定,36
77,0,力学,名詞,一般,*,*,力学,38
78,0,量,名詞,接尾,一般,*,量,51
80,0,測定,名詞,サ変接続,*,*,測定,36
81,0,ディジタル,名詞,一般,*,*,ディジタル,38
82,0,化,名詞,接尾,サ変接続,*,化,50
83,0,フィルタ,名詞,一般,*,*,フィルタ,38
84,0,電気,名詞,一般,*,*,電気,38
86,0,電子,名詞,一般,*,*,電子,38
87,0,計測,名詞,サ変接続,*,*,計測,36
88,0,光,名詞,接尾,一般,*,光,51
89,0,計測,名詞,サ変接続,*,*,計測,36
90,0,知識,名詞,一般,*,*,知識,38
91,0,応用,名詞,サ変接続,*,*,応用,36
92,0,計測,名詞,サ変接続,*,*,計測,36
0,0,尺度,名詞,一般,*,*,尺度,38
1,0,トレーサビリティ,名詞,固有名詞,一般,*,トレーサビリティ,41
2,0,測定,名詞,サ変接続,*,*,測定,36
3,0,方式,名詞,一般,*,*,方式,38
4,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
5,0,精度,名詞,一般,*,*,精度,38
6,0,校正,名詞,サ変接続,*,*,校正,36
7,0,基本,名詞,一般,*,*,基本,38
8,0,量,名詞,接尾,一般,*,量,51
10,0,測定,名詞,サ変接続,*,*,測定,36
11,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
12,0,量,名詞,接尾,一般,*,量,51
14,0,測定,名詞,サ変接続,*,*,測定,36
15,0,力学,名詞,一般,*,*,力学,38
16,0,量,名詞,接尾,一般,*,量,51
18,0,測定,名詞,サ変接続,*,*,測定,36
19,0,ディジタル,名詞,一般,*,*,ディジタル,38
20,0,化,名詞,接尾,サ変接続,*,化,50
21,0,フィルタ,名詞,一般,*,*,フィルタ,38
22,0,電気,名詞,一般,*,*,電気,38
24,0,電子,名詞,一般,*,*,電子,38
25,0,計測,名詞,サ変接続,*,*,計測,36
26,0,光,名詞,接尾,一般,*,光,51
27,0,計測,名詞,サ変接続,*,*,計測,36
28,0,知識,名詞,一般,*,*,知識,38
29,0,応用,名詞,サ変接続,*,*,応用,36
30,0,計測,名詞,サ変接続,*,*,計測,36
31,0,尺度,名詞,一般,*,*,尺度,38
32,0,トレーサビリティ,名詞,固有名詞,一般,*,トレーサビリティ,41
33,0,測定,名詞,サ変接続,*,*,測定,36
34,0,方式,名詞,一般,*,*,方式,38
35,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
36,0,精度,名詞,一般,*,*,精度,38
37,0,校正,名詞,サ変接続,*,*,校正,36
38,0,基本,名詞,一般,*,*,基本,38
39,0,量,名詞,接尾,一般,*,量,51
41,0,測定,名詞,サ変接続,*,*,測定,36
42,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
43,0,量,名詞,接尾,一般,*,量,51
45,0,測定,名詞,サ変接続,*,*,測定,36
46,0,力学,名詞,一般,*,*,力学,38
47,0,量,名詞,接尾,一般,*,量,51
49,0,測定,名詞,サ変接続,*,*,測定,36
50,0,ディジタル,名詞,一般,*,*,ディジタル,38
51,0,化,名詞,接尾,サ変接続,*,化,50
52,0,フィルタ,名詞,一般,*,*,フィルタ,38
53,0,電気,名詞,一般,*,*,電気,38
55,0,電子,名詞,一般,*,*,電子,38
56,0,計測,名詞,サ変接続,*,*,計測,36
57,0,光,名詞,接尾,一般,*,光,51
58,0,計測,名詞,サ変接続,*,*,計測,36
59,0,知識,名詞,一般,*,*,知識,38
60,0,応用,名詞,サ変接続,*,*,応用,36
61,0,計測,名詞,サ変接続,*,*,計測,36
62,0,尺度,名詞,一般,*,*,尺度,38
63,0,トレーサビリティ,名詞,固有名詞,一般,*,トレーサビリティ,41
64,0,測定,名詞,サ変接続,*,*,測定,36
65,0,方式,名詞,一般,*,*,方式,38
66,0,不確かさ,名詞,固有名詞,一般,*,不確かさ,41
67,0,精度,名詞,一般,*,*,精度,38
68,0,校正,名詞,サ変接続,*,*,校正,36
69,0,基本,名詞,一般,*,*,基本,38
70,0,量,名詞,接尾,一般,*,量,51
72,0,測定,名詞,サ変接続,*,*,測定,36
73,0,幾何学,名詞,固有名詞,一般,*,幾何学,41
74,0,量,名詞,接尾,一般,*,量,51
76,0,測定,名詞,サ変接続,*,*,測定,36
77,0,力学,名詞,一般,*,*,力学,38
78,0,量,名詞,接尾,一般,*,量,51
80,0,測定,名詞,サ変接続,*,*,測定,36
81,0,ディジタル,名詞,一般,*,*,ディジタル,38
82,0,化,名詞,接尾,サ変接続,*,化,50
83,0,フィルタ,名詞,一般,*,*,フィルタ,38
84,0,電気,名詞,一般,*,*,電気,38
86,0,電子,名詞,一般,*,*,電子,38
87,0,計測,名詞,サ変接続,*,*,計測,36
88,0,光,名詞,接尾,一般,*,光,51
89,0,計測,名詞,サ変接続,*,*,計測,36
90,0,知識,名詞,一般,*,*,知識,38
91,0,応用,名詞,サ変接続,*,*,応用,36
92,0,計測,名詞,サ変接続,*,*,計測,36
1,0,精密,名詞,一般,*,*,精密,38
2,0,計測,名詞,サ変接続,*,*,計測,36
4,0,精密,名詞,一般,*,*,精密,38
5,0,計測,名詞,サ変接続,*,*,計測,36
7,0,精密,名詞,一般,*,*,精密,38
8,0,計測,名詞,サ変接続,*,*,計測,36
1,0,精密,名詞,一般,*,*,精密,38
2,0,計測,名詞,サ変接続,*,*,計測,36
4,0,精密,名詞,一般,*,*,精密,38
5,0,計測,名詞,サ変接続,*,*,計測,36
7,0,精密,名詞,一般,*,*,精密,38
8,0,計測,名詞,サ変接続,*,*,計測,36
1,0,精密,名詞,一般,*,*,精密,38
2,0,計測,名詞,サ変接続,*,*,計測,36
4,0,精密,名詞,一般,*,*,精密,38
5,0,計測,名詞,サ変接続,*,*,計測,36
7,0,精密,名詞,一般,*,*,精密,38
8,0,計測,名詞,サ変接続,*,*,計測,36
1,0,精密,名詞,一般,*,*,精密,38
2,0,計測,名詞,サ変接続,*,*,計測,36
4,0,精密,名詞,一般,*,*,精密,38
5,0,計測,名詞,サ変接続,*,*,計測,36
7,0,精密,名詞,一般,*,*,精密,38
8,0,計測,名詞,サ変接続,*,*,計測,36
1,0,精密,名詞,一般,*,*,精密,38
2,0,計測,名詞,サ変接続,*,*,計測,36
4,0,精密,名詞,一般,*,*,精密,38
5,0,計測,名詞,サ変接続,*,*,計測,36
7,0,精密,名詞,一般,*,*,精密,38
8,0,計測,名詞,サ変接続,*,*,計測,36
0,0,機械,名詞,一般,*,*,機械,38
1,0,計測,名詞,サ変接続,*,*,計測,36
2,0,機械,名詞,一般,*,*,機械,38
