Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
7,0,庶民,名詞,一般,*,*,庶民,38
8,0,文化,名詞,一般,*,*,文化,38
9,0,食文化,名詞,固有名詞,一般,*,食文化,41
10,0,SF,名詞,固有名詞,一般,*,SF,41
11,0,大衆小説,名詞,固有名詞,一般,*,大衆小説,41
12,0,純文学,名詞,一般,*,*,純文学,38
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,社会,名詞,一般,*,*,社会,38
6,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
7,0,演習,名詞,サ変接続,*,*,演習,36
9,0,日本学,名詞,一般,*,*,日本学,38
10,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
11,0,演習,名詞,サ変接続,*,*,演習,36
13,0,芸術,名詞,一般,*,*,芸術,38
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
15,0,演習,名詞,サ変接続,*,*,演習,36
17,0,適応,名詞,サ変接続,*,*,適応,36
18,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
19,0,演習,名詞,サ変接続,*,*,演習,36
21,0,社会,名詞,固有名詞,組織,*,社会,45
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,社会,名詞,一般,*,*,社会,38
6,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
7,0,演習,名詞,サ変接続,*,*,演習,36
9,0,日本学,名詞,一般,*,*,日本学,38
10,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
11,0,演習,名詞,サ変接続,*,*,演習,36
13,0,芸術,名詞,一般,*,*,芸術,38
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
15,0,演習,名詞,サ変接続,*,*,演習,36
17,0,適応,名詞,サ変接続,*,*,適応,36
18,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
19,0,演習,名詞,サ変接続,*,*,演習,36
21,0,社会,名詞,固有名詞,組織,*,社会,45
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,社会,名詞,一般,*,*,社会,38
6,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
7,0,演習,名詞,サ変接続,*,*,演習,36
9,0,日本学,名詞,一般,*,*,日本学,38
10,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
11,0,演習,名詞,サ変接続,*,*,演習,36
13,0,芸術,名詞,一般,*,*,芸術,38
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
15,0,演習,名詞,サ変接続,*,*,演習,36
17,0,適応,名詞,サ変接続,*,*,適応,36
18,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
19,0,演習,名詞,サ変接続,*,*,演習,36
21,0,社会,名詞,固有名詞,組織,*,社会,45
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,社会,名詞,一般,*,*,社会,38
6,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
7,0,演習,名詞,サ変接続,*,*,演習,36
9,0,日本学,名詞,一般,*,*,日本学,38
10,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
11,0,演習,名詞,サ変接続,*,*,演習,36
13,0,芸術,名詞,一般,*,*,芸術,38
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
15,0,演習,名詞,サ変接続,*,*,演習,36
17,0,適応,名詞,サ変接続,*,*,適応,36
18,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
19,0,演習,名詞,サ変接続,*,*,演習,36
21,0,社会,名詞,固有名詞,組織,*,社会,45
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,社会,名詞,一般,*,*,社会,38
6,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
7,0,演習,名詞,サ変接続,*,*,演習,36
9,0,日本学,名詞,一般,*,*,日本学,38
10,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
11,0,演習,名詞,サ変接続,*,*,演習,36
13,0,芸術,名詞,一般,*,*,芸術,38
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
15,0,演習,名詞,サ変接続,*,*,演習,36
17,0,適応,名詞,サ変接続,*,*,適応,36
18,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
19,0,演習,名詞,サ変接続,*,*,演習,36
21,0,社会,名詞,固有名詞,組織,*,社会,45
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,文学,名詞,一般,*,*,文学,38
0,0,大和,名詞,固有名詞,地域,一般,大和,46
1,0,奈良時代,名詞,固有名詞,一般,*,奈良時代,41
3,0,中心,名詞,一般,*,*,中心,38
6,0,文学,名詞,一般,*,*,文学,38
8,0,基礎,名詞,一般,*,*,基礎,38
9,0,知識,名詞,一般,*,*,知識,38
10,0,和歌,名詞,一般,*,*,和歌,38
16,1,平安時代,名詞,固有名詞,一般,*,平安時代,41
18,1,中心,名詞,一般,*,*,中心,38
21,1,文学,名詞,一般,*,*,文学,38
23,1,基礎,名詞,一般,*,*,基礎,38
24,1,知識,名詞,一般,*,*,知識,38
25,1,源氏物語,名詞,固有名詞,一般,*,源氏物語,41
31,2,鎌倉,名詞,固有名詞,地域,一般,鎌倉,46
33,2,室町時代,名詞,固有名詞,人名,一般,室町時代,42
35,2,中心,名詞,一般,*,*,中心,38
38,2,基礎,名詞,一般,*,*,基礎,38
39,2,知識,名詞,一般,*,*,知識,38
40,2,世捨て人,名詞,一般,*,*,世捨て人,38
46,3,江戸時代,名詞,固有名詞,一般,*,江戸時代,41
48,3,中心,名詞,一般,*,*,中心,38
51,3,文学,名詞,一般,*,*,文学,38
53,3,基礎,名詞,一般,*,*,基礎,38
54,3,知識,名詞,一般,*,*,知識,38
55,3,虚実皮膜論,名詞,固有名詞,一般,*,虚実皮膜論,41
61,4,近代文学,名詞,固有名詞,一般,*,近代文学,41
63,4,基礎,名詞,一般,*,*,基礎,38
64,4,知識,名詞,一般,*,*,知識,38
65,4,言文一致,名詞,固有名詞,一般,*,言文一致,41
66,4,体,名詞,接尾,一般,*,体,51
72,5,現代文学,名詞,固有名詞,一般,*,現代文学,41
74,5,基礎,名詞,一般,*,*,基礎,38
75,5,知識,名詞,一般,*,*,知識,38
76,5,大衆,名詞,一般,*,*,大衆,38
77,5,文学,名詞,一般,*,*,文学,38
83,6,最終回,名詞,固有名詞,一般,*,最終回,41
87,6,日本文学,名詞,固有名詞,一般,*,日本文学,41
88,6,かるた,名詞,一般,*,*,かるた,38
91,6,作っ,動詞,自立,*,*,作る,31
93,6,日本文学,名詞,固有名詞,一般,*,日本文学,41
95,6,復習,名詞,サ変接続,*,*,復習,36
96,6,日本文学,名詞,固有名詞,一般,*,日本文学,41
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,文学,名詞,一般,*,*,文学,38
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,文学,名詞,一般,*,*,文学,38
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,文学,名詞,一般,*,*,文学,38
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,文学,名詞,一般,*,*,文学,38
0,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
1,0,演習,名詞,サ変接続,*,*,演習,36
3,0,ことば,名詞,一般,*,*,ことば,38
5,0,文学,名詞,一般,*,*,文学,38
