Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,修得,名詞,サ変接続,*,*,修得,36
16,1,日本の経済,名詞,固有名詞,一般,*,日本の経済,41
17,1,発展,名詞,サ変接続,*,*,発展,36
19,1,歴史,名詞,一般,*,*,歴史,38
21,1,特徴,名詞,一般,*,*,特徴,38
23,1,把握,名詞,サ変接続,*,*,把握,36
28,2,日本,名詞,固有名詞,地域,国,日本,47
30,2,主,名詞,形容動詞語幹,*,*,主,40
32,2,環境問題,名詞,固有名詞,一般,*,環境問題,41
34,2,解決策,名詞,固有名詞,一般,*,解決策,41
36,2,理解,名詞,サ変接続,*,*,理解,36
41,3,学生,名詞,一般,*,*,学生,38
43,3,出身国,名詞,固有名詞,一般,*,出身国,41
45,3,日本,名詞,固有名詞,地域,国,日本,47
47,3,いくつか,名詞,一般,*,*,いくつか,38
49,3,重要,名詞,形容動詞語幹,*,*,重要,40
51,3,社会的,名詞,固有名詞,一般,*,社会的,41
54,3,理解,名詞,サ変接続,*,*,理解,36
56,3,深める,動詞,自立,*,*,深める,31
60,4,日本文化,名詞,固有名詞,一般,*,日本文化,41
62,4,経験,名詞,サ変接続,*,*,経験,36
65,4,講義,名詞,サ変接続,*,*,講義,36
67,4,履修,名詞,サ変接続,*,*,履修,36
71,4,次,名詞,一般,*,*,次,38
73,4,能力,名詞,一般,*,*,能力,38
75,4,修得,名詞,サ変接続,*,*,修得,36
80,5,日本の経済,名詞,固有名詞,一般,*,日本の経済,41
81,5,発展,名詞,サ変接続,*,*,発展,36
83,5,歴史,名詞,一般,*,*,歴史,38
85,5,特徴,名詞,一般,*,*,特徴,38
87,5,把握,名詞,サ変接続,*,*,把握,36
92,6,日本,名詞,固有名詞,地域,国,日本,47
94,6,主,名詞,形容動詞語幹,*,*,主,40
96,6,環境問題,名詞,固有名詞,一般,*,環境問題,41
98,6,解決策,名詞,固有名詞,一般,*,解決策,41
100,6,理解,名詞,サ変接続,*,*,理解,36
105,7,学生,名詞,一般,*,*,学生,38
107,7,出身国,名詞,固有名詞,一般,*,出身国,41
109,7,日本,名詞,固有名詞,地域,国,日本,47
111,7,いくつか,名詞,一般,*,*,いくつか,38
113,7,重要,名詞,形容動詞語幹,*,*,重要,40
115,7,社会的,名詞,固有名詞,一般,*,社会的,41
118,7,理解,名詞,サ変接続,*,*,理解,36
120,7,深める,動詞,自立,*,*,深める,31
124,8,日本文化,名詞,固有名詞,一般,*,日本文化,41
126,8,経験,名詞,サ変接続,*,*,経験,36
129,8,講義,名詞,サ変接続,*,*,講義,36
131,8,履修,名詞,サ変接続,*,*,履修,36
135,8,次,名詞,一般,*,*,次,38
137,8,能力,名詞,一般,*,*,能力,38
139,8,修得,名詞,サ変接続,*,*,修得,36
144,9,日本の経済,名詞,固有名詞,一般,*,日本の経済,41
145,9,発展,名詞,サ変接続,*,*,発展,36
147,9,歴史,名詞,一般,*,*,歴史,38
149,9,特徴,名詞,一般,*,*,特徴,38
151,9,把握,名詞,サ変接続,*,*,把握,36
156,10,日本,名詞,固有名詞,地域,国,日本,47
158,10,主,名詞,形容動詞語幹,*,*,主,40
160,10,環境問題,名詞,固有名詞,一般,*,環境問題,41
162,10,解決策,名詞,固有名詞,一般,*,解決策,41
164,10,理解,名詞,サ変接続,*,*,理解,36
169,11,学生,名詞,一般,*,*,学生,38
171,11,出身国,名詞,固有名詞,一般,*,出身国,41
173,11,日本,名詞,固有名詞,地域,国,日本,47
175,11,いくつか,名詞,一般,*,*,いくつか,38
177,11,重要,名詞,形容動詞語幹,*,*,重要,40
179,11,社会的,名詞,固有名詞,一般,*,社会的,41
182,11,理解,名詞,サ変接続,*,*,理解,36
184,11,深める,動詞,自立,*,*,深める,31
188,12,日本文化,名詞,固有名詞,一般,*,日本文化,41
190,12,経験,名詞,サ変接続,*,*,経験,36
193,12,講義,名詞,サ変接続,*,*,講義,36
195,12,履修,名詞,サ変接続,*,*,履修,36
199,12,次,名詞,一般,*,*,次,38
201,12,能力,名詞,一般,*,*,能力,38
203,12,修得,名詞,サ変接続,*,*,修得,36
208,13,日本の経済,名詞,固有名詞,一般,*,日本の経済,41
209,13,発展,名詞,サ変接続,*,*,発展,36
211,13,歴史,名詞,一般,*,*,歴史,38
213,13,特徴,名詞,一般,*,*,特徴,38
215,13,把握,名詞,サ変接続,*,*,把握,36
220,14,日本,名詞,固有名詞,地域,国,日本,47
222,14,主,名詞,形容動詞語幹,*,*,主,40
224,14,環境問題,名詞,固有名詞,一般,*,環境問題,41
226,14,解決,名詞,サ変接続,*,*,解決,36
228,14,歩み,名詞,一般,*,*,歩み,38
230,14,理解,名詞,サ変接続,*,*,理解,36
235,15,学生,名詞,一般,*,*,学生,38
237,15,出身国,名詞,固有名詞,一般,*,出身国,41
239,15,日本,名詞,固有名詞,地域,国,日本,47
241,15,いくつか,名詞,一般,*,*,いくつか,38
243,15,重要,名詞,形容動詞語幹,*,*,重要,40
245,15,社会的,名詞,固有名詞,一般,*,社会的,41
248,15,理解,名詞,サ変接続,*,*,理解,36
250,15,深める,動詞,自立,*,*,深める,31
254,16,日本文化,名詞,固有名詞,一般,*,日本文化,41
256,16,理解,名詞,サ変接続,*,*,理解,36
258,16,深める,動詞,自立,*,*,深める,31
260,16,講義,名詞,サ変接続,*,*,講義,36
262,16,履修,名詞,サ変接続,*,*,履修,36
266,16,次,名詞,一般,*,*,次,38
268,16,能力,名詞,一般,*,*,能力,38
270,16,修得,名詞,サ変接続,*,*,修得,36
275,17,日本の経済,名詞,固有名詞,一般,*,日本の経済,41
276,17,発展,名詞,サ変接続,*,*,発展,36
278,17,歴史,名詞,一般,*,*,歴史,38
280,17,特徴,名詞,一般,*,*,特徴,38
282,17,把握,名詞,サ変接続,*,*,把握,36
287,18,日本,名詞,固有名詞,地域,国,日本,47
289,18,主,名詞,形容動詞語幹,*,*,主,40
291,18,環境問題,名詞,固有名詞,一般,*,環境問題,41
293,18,解決策,名詞,固有名詞,一般,*,解決策,41
295,18,理解,名詞,サ変接続,*,*,理解,36
300,19,学生,名詞,一般,*,*,学生,38
302,19,母国,名詞,一般,*,*,母国,38
304,19,日本,名詞,固有名詞,地域,国,日本,47
306,19,重要,名詞,形容動詞語幹,*,*,重要,40
308,19,社会的,名詞,固有名詞,一般,*,社会的,41
311,19,理解,名詞,サ変接続,*,*,理解,36
316,20,日本文化,名詞,固有名詞,一般,*,日本文化,41
318,20,経験,名詞,サ変接続,*,*,経験,36
0,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
1,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
2,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
3,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
4,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
5,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
6,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
7,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
8,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
9,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
10,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
11,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
12,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
13,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
0,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
1,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
2,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
3,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
4,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
5,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
6,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
7,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
8,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
9,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
10,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
11,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
12,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
13,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
0,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
1,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
2,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
3,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
4,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
5,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
6,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
7,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
8,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
9,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
10,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
11,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
12,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
13,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
0,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
1,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
2,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
3,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
4,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
5,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
6,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
7,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
8,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
9,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
10,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
11,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
12,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
13,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
0,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
1,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
2,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
3,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
4,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
5,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
6,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
7,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
8,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
9,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
10,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
11,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
12,0,経済開発,名詞,固有名詞,一般,*,経済開発,41
13,0,環境保全,名詞,固有名詞,一般,*,環境保全,41
14,0,日本文化,名詞,固有名詞,一般,*,日本文化,41
0,0,なし,形容詞,自立,*,*,ない,10
1,0,なし,形容詞,自立,*,*,ない,10
2,0,なし,形容詞,自立,*,*,ない,10
3,0,なし,形容詞,自立,*,*,ない,10
4,0,なし,形容詞,自立,*,*,ない,10
0,0,なし,形容詞,自立,*,*,ない,10
1,0,なし,形容詞,自立,*,*,ない,10
2,0,なし,形容詞,自立,*,*,ない,10
3,0,なし,形容詞,自立,*,*,ない,10
4,0,なし,形容詞,自立,*,*,ない,10
0,0,なし,形容詞,自立,*,*,ない,10
1,0,なし,形容詞,自立,*,*,ない,10
2,0,なし,形容詞,自立,*,*,ない,10
3,0,なし,形容詞,自立,*,*,ない,10
4,0,なし,形容詞,自立,*,*,ない,10
0,0,なし,形容詞,自立,*,*,ない,10
1,0,なし,形容詞,自立,*,*,ない,10
2,0,なし,形容詞,自立,*,*,ない,10
3,0,なし,形容詞,自立,*,*,ない,10
4,0,なし,形容詞,自立,*,*,ない,10
0,0,なし,形容詞,自立,*,*,ない,10
1,0,なし,形容詞,自立,*,*,ない,10
2,0,なし,形容詞,自立,*,*,ない,10
3,0,なし,形容詞,自立,*,*,ない,10
4,0,なし,形容詞,自立,*,*,ない,10
