,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
1,0,講義,名詞,サ変接続,*,*,講義,36
3,0,履修,名詞,サ変接続,*,*,履修,36
7,0,次,名詞,一般,*,*,次,38
9,0,能力,名詞,一般,*,*,能力,38
11,0,習得,名詞,サ変接続,*,*,習得,36
17,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
18,0,Python,名詞,固有名詞,一般,*,Python,41
20,0,使い方,名詞,一般,*,*,使い方,38
22,0,習得,名詞,サ変接続,*,*,習得,36
28,0,統計処理,名詞,固有名詞,一般,*,統計処理,41
30,0,信号,名詞,一般,*,*,信号,38
31,0,画像処理,名詞,固有名詞,一般,*,画像処理,41
33,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
35,0,理解,名詞,サ変接続,*,*,理解,36
41,0,基本,名詞,一般,*,*,基本,38
42,0,的,名詞,接尾,形容動詞語幹,*,的,52
44,0,プログラム,名詞,サ変接続,*,*,プログラム,36
46,0,作成,名詞,サ変接続,*,*,作成,36
47,0,できる,動詞,自立,*,*,できる,31
50,0,なる,動詞,自立,*,*,なる,31
53,0,講義,名詞,サ変接続,*,*,講義,36
55,0,履修,名詞,サ変接続,*,*,履修,36
59,0,次,名詞,一般,*,*,次,38
61,0,能力,名詞,一般,*,*,能力,38
63,0,習得,名詞,サ変接続,*,*,習得,36
69,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
70,0,Python,名詞,固有名詞,一般,*,Python,41
72,0,使い方,名詞,一般,*,*,使い方,38
74,0,習得,名詞,サ変接続,*,*,習得,36
80,0,統計処理,名詞,固有名詞,一般,*,統計処理,41
82,0,信号,名詞,一般,*,*,信号,38
83,0,画像処理,名詞,固有名詞,一般,*,画像処理,41
85,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
87,0,理解,名詞,サ変接続,*,*,理解,36
93,0,基本,名詞,一般,*,*,基本,38
94,0,的,名詞,接尾,形容動詞語幹,*,的,52
96,0,プログラム,名詞,サ変接続,*,*,プログラム,36
98,0,作成,名詞,サ変接続,*,*,作成,36
99,0,できる,動詞,自立,*,*,できる,31
102,0,なる,動詞,自立,*,*,なる,31
105,0,講義,名詞,サ変接続,*,*,講義,36
107,0,履修,名詞,サ変接続,*,*,履修,36
111,0,次,名詞,一般,*,*,次,38
113,0,能力,名詞,一般,*,*,能力,38
115,0,習得,名詞,サ変接続,*,*,習得,36
121,0,プログラミング言語,名詞,固有名詞,一般,*,プログラミング言語,41
122,0,Python,名詞,固有名詞,一般,*,Python,41
124,0,使い方,名詞,一般,*,*,使い方,38
126,0,習得,名詞,サ変接続,*,*,習得,36
132,0,統計処理,名詞,固有名詞,一般,*,統計処理,41
134,0,信号,名詞,一般,*,*,信号,38
135,0,画像処理,名詞,固有名詞,一般,*,画像処理,41
137,0,アルゴリズム,名詞,一般,*,*,アルゴリズム,38
139,0,理解,名詞,サ変接続,*,*,理解,36
145,0,基本,名詞,一般,*,*,基本,38
146,0,的,名詞,接尾,形容動詞語幹,*,的,52
148,0,プログラム,名詞,サ変接続,*,*,プログラム,36
150,0,作成,名詞,サ変接続,*,*,作成,36
151,0,できる,動詞,自立,*,*,できる,31
154,0,なる,動詞,自立,*,*,なる,31
